"timeindex","ar1","sd","sk","kurt","cv","returnrate","densratio","acf1","var","frequency"
68,-0.128719708604612,0.0812555802623425,0.287034021738708,2.8292791708367,-153.383101966615,-7.76881808419641,0.597434753009501,-0.128124797552864,"ar","1y"
69,-0.127604651612601,0.0813536453648352,0.260785374387524,2.80651397404801,440.864833845597,-7.83670491132197,0.599554222064216,-0.127253611541522,"ar","1y"
70,-0.115883315281561,0.08131499403182,0.207875146869876,2.77465301982935,25.9532434718838,-8.62936996210636,0.63425905360604,-0.11338504085154,"ar","1y"
71,-0.0848615735819198,0.0821941847944478,0.188468589473797,2.68211714810506,19.3444760273555,-11.7838965009842,0.717180312472383,-0.0829547975909554,"ar","1y"
72,-0.0613838953940584,0.0810965967847102,0.173553869959537,2.765235997828,13.9063996822001,-16.2909178959795,0.782140732873904,-0.0613828248252311,"ar","1y"
73,-0.05802285672276,0.0810816272535021,0.228416996075341,2.79477333905995,27.2824270527655,-17.2345874795189,0.796577279419232,-0.0568244631992038,"ar","1y"
74,-0.0437838355296711,0.081218451647954,0.238885243349078,2.78130722574337,31.1679859958392,-22.8394791799893,0.83991539654186,-0.0436078587641878,"ar","1y"
75,-0.0503379378015525,0.0806143223604843,0.297932920437156,2.86575275251184,288.857204582666,-19.8657323615899,0.818810014969024,-0.0499590775772949,"ar","1y"
76,-0.0509925274192502,0.0803897163078374,0.320506493456417,2.90544673013471,-231.386508493263,-19.6107165227996,0.81544646724692,-0.0509859943704714,"ar","1y"
77,-0.0516865538511739,0.0804565649790502,0.333343450628233,2.90217598747926,-110.879522225513,-19.3473916423099,0.81343608982457,-0.0516017498709921,"ar","1y"
78,-0.0158450561850094,0.0797504856207248,0.34630383372354,2.95135151142234,-1183.85172073239,-63.111167819403,0.939160462381076,-0.0156993051086953,"ar","1y"
79,0.0100537072428271,0.0782825661723861,0.39297531768327,3.10837909423011,-29.5596826441687,99.4657966307361,1.04083101968342,0.0100101413603155,"ar","1y"
80,-0.0151321951372595,0.0787418215306125,0.331348344501739,3.01841002741202,-202.745813443958,-66.0842654307129,0.942439524433175,-0.0148277072472307,"ar","1y"
81,0.0551392525116479,0.0784531297095103,0.281441785110265,2.99686858681792,32.6575446439861,18.1359005508599,1.24200684040773,0.0541623360220325,"ar","1y"
82,0.075002829351583,0.0749512558451196,0.144939121644534,2.90630183081015,265.740377024068,13.332830356471,1.34724991705679,0.0744262124053822,"ar","1y"
83,0.0811243736185526,0.0754603245787056,0.108911264691104,2.8334130579529,52.3122828124756,12.3267515716301,1.37801240817015,0.0800409240227067,"ar","1y"
84,0.0848619360571808,0.0748937404054517,0.155325692730059,2.74968026057525,44.5191714023456,11.7838461678059,1.36985574697442,0.0785649596156316,"ar","1y"
85,0.0740058506486354,0.0745527462314367,0.178064644775593,2.80038524697469,75.4548028551925,13.5124451815005,1.34479673253844,0.0739727497979498,"ar","1y"
86,0.068816908433263,0.0766695778639629,0.141552558861705,2.72256794731126,-65.7217697650132,14.5313124748953,1.29784144687607,0.065124257942662,"ar","1y"
87,0.115706664467234,0.0784169742502515,0.128453678731525,2.63303509697686,-25.3690119099696,8.64254452934459,1.55926746239609,0.110675681678613,"ar","1y"
88,0.0880524059665306,0.0785425808071042,0.127572036099828,2.62144181598904,-26.5096638718502,11.3568730919188,1.4153786826502,0.0866882508548298,"ar","1y"
89,0.0774201059284638,0.0788248217128667,0.144997367815027,2.592355684184,-21.9276577428455,12.9165413558592,1.36039291011694,0.0768411607133026,"ar","1y"
90,0.0772220824948154,0.0789276666723007,0.141953398392297,2.58065015928742,-22.8434528427873,12.9496637191459,1.35859680405144,0.0765125678197308,"ar","1y"
91,0.0863518273569341,0.0786092117425177,0.131436156454197,2.61218201651557,-26.7704508652107,11.580530842347,1.4123753065667,0.0861607540598764,"ar","1y"
92,0.0800926445240922,0.080205037072365,0.176955937355605,2.5970841285159,-42.3054486773503,12.4855410374069,1.35382197642579,0.0756368292761643,"ar","1y"
93,0.0906757686774687,0.0804473512030693,0.139054797774697,2.56047022861566,-101.480339425296,11.0283046351333,1.43472432844982,0.0900582833054074,"ar","1y"
94,0.0754596964637745,0.0795964366899621,0.0970519132131041,2.61509282221464,58.5718500151688,13.2521073746972,1.35124198023834,0.0751623048961627,"ar","1y"
95,0.101903068172744,0.0788251993979405,0.0738923400215091,2.6869099367975,30.0742348136714,9.81324721552854,1.50489839328524,0.101895893509456,"ar","1y"
96,0.118597144285696,0.0775420705562315,0.0816499235730041,2.79449201469113,64.8353925884025,8.4319062320003,1.60920163453384,0.118459488821403,"ar","1y"
97,0.114744487126719,0.0790853805191852,0.0545610302056251,2.71405154243227,-621.320213933239,8.71501564075703,1.55377877551478,0.10980408669855,"ar","1y"
98,0.144723553829908,0.0798260035902369,0.0955715005872746,2.64940663075367,-41.6154184549643,6.90972529029581,1.7695981045556,0.141831252880462,"ar","1y"
99,0.163766230450662,0.0795051688156019,0.0832659451064566,2.68354707229874,-58.0270926670003,6.10626499277745,1.93342643062897,0.163471833292057,"ar","1y"
100,0.166071868779187,0.0786638486945773,0.123573640883388,2.77548060986455,-25.7907397363869,6.0214894151015,1.95322670640934,0.16595261057535,"ar","1y"
101,0.161795258072231,0.0788259939160279,0.10662975752763,2.7511491004555,-30.7140824316588,6.1806508541404,1.91471955534307,0.161102692023502,"ar","1y"
102,0.167925894067023,0.0780114863772792,0.158893448441744,2.8325971941635,-15.6484819609273,5.95500774645795,1.95907042150014,0.166679573590744,"ar","1y"
103,0.149007947001751,0.0789976708916989,0.114237189511351,2.72971717775709,-26.7132465885096,6.71105145813632,1.79289930393437,0.145037497992893,"ar","1y"
104,0.183107094995812,0.0805974557038433,0.0870725376231158,2.63576016446591,-300.964642879577,5.46128482909344,2.02921213508029,0.175226244222524,"ar","1y"
105,0.208322580685612,0.0813799021832606,0.0668938972357177,2.55866047412343,96.997539012945,4.80024775379075,2.28831633551942,0.20421900029606,"ar","1y"
106,0.232903448725633,0.0837859372325372,0.0920418475345916,2.58298573891285,17.9522117004926,4.29362469929772,2.41359262706396,0.216969300650052,"ar","1y"
107,0.228809961168343,0.0834859323251497,0.0440802751118021,2.60774412552693,13.2071660895436,4.37043909668018,2.52819761838808,0.228007624458712,"ar","1y"
108,0.230626090141263,0.0833704252764609,0.00987653791492828,2.61984877086902,11.3568591358408,4.33602286448806,2.55296754439857,0.230320291962858,"ar","1y"
109,0.225408457159596,0.0842837715022035,0.0335403660743881,2.54133367590574,14.2217793225442,4.43639077522263,2.45068417029273,0.220604369164251,"ar","1y"
110,0.229033211458006,0.0842868840208054,0.0870360276566996,2.54631036204368,20.5688751333415,4.3661790079879,2.51981473230954,0.227219231579029,"ar","1y"
111,0.224215189562326,0.0841236195288839,0.0970315014733742,2.56575481575291,22.4012234071277,4.46000113530233,2.484256781423,0.223842349112629,"ar","1y"
112,0.225192328095367,0.0844699383959856,0.0721173593173765,2.52520246260367,18.3851021809723,4.44064861559809,2.47921060004846,0.223358772350397,"ar","1y"
113,0.185530004871381,0.0809020311762651,0.0435814341430112,2.27178476873299,315.765814009298,5.38996374572002,2.09481498433976,0.182934245167976,"ar","1y"
114,0.159043831162715,0.0799849811100295,0.0198359140768033,2.33923360425789,-68.872636034829,6.28757489485345,1.89857990041404,0.159038508758317,"ar","1y"
115,0.200739883482359,0.0786456663083859,0.00520281041485048,2.4213192053641,-27.0718717642262,4.9815710891746,2.25537846391137,0.200738628292351,"ar","1y"
116,0.221181782708251,0.0786796592115936,0.0211650464858062,2.4242740142967,93.0153165054336,4.52116800830314,2.37049579233042,0.212667206999411,"ar","1y"
117,0.248807142124027,0.0794774557466574,0.0273264610556977,2.36537561990452,45.1564025884471,4.01917722884945,2.69469842821912,0.243089128765782,"ar","1y"
118,0.208386415392627,0.0805581500288399,0.0376166813450384,2.31483550558562,99.8167988401851,4.79877730089012,2.2609477376379,0.201331016231334,"ar","1y"
119,0.255839104099412,0.0833642503410643,0.126647472581499,2.37211567032406,-78.043333043108,3.90870662059319,2.62943243224668,0.237304761159405,"ar","1y"
120,0.285431810700985,0.084508725369272,0.0946909858786654,2.28669321520386,-29.43477373217,3.50346374338629,3.12720863403248,0.277828861567098,"ar","1y"
121,0.317907622752613,0.0834935855643133,0.0710074422002454,2.29876368253146,-38.6239007944312,3.14556785817676,3.6281803505589,0.311805723129399,"ar","1y"
122,0.326175288177588,0.0838888449681269,0.0341780060257736,2.25930580934811,-24.7485094925868,3.06583618148149,3.81314123469433,0.323006618872917,"ar","1y"
123,0.33698312281726,0.084805234022396,0.0105688876982823,2.19359625222776,-17.7716207926653,2.96750766519035,3.93050443463143,0.329792226547599,"ar","1y"
124,0.329779401717581,0.0848583946192969,0.0565545720166781,2.19131854710456,-25.6637176668365,3.03233008123529,3.89774995551882,0.32792237774383,"ar","1y"
125,0.347196334018561,0.0839922486603367,0.021430520753531,2.24890834181855,-16.6939849357661,2.88021474312727,4.24765029212641,0.347008180407331,"ar","1y"
126,0.338216478625729,0.083604605665406,0.0561331342093961,2.28683076704256,-21.6075619570396,2.95668621488606,4.0803833890956,0.338122845737657,"ar","1y"
127,0.338524031503084,0.0830097478915902,0.0873298450831701,2.34325819022725,-31.162855705915,2.95400003231643,4.08776761594516,0.338524020917855,"ar","1y"
128,0.337715245208265,0.0898564390458344,0.25868598034351,3.1756918998429,47.2431482932987,2.96107449749066,3.27606876791052,0.288541076833875,"ar","1y"
129,0.350991457828921,0.0910940037955884,0.222907535565363,3.03660285958716,23.979271482834,2.84907218593171,4.14566350822,0.341640386210126,"ar","1y"
130,0.334031853941599,0.0900116132811254,0.195791183040715,3.12419560056922,15.5370705586754,2.9937264611142,4.0022189251218,0.333823627769632,"ar","1y"
131,0.351737878420082,0.0894293097029707,0.148413824300667,3.17022559377613,11.2792329374177,2.84302618896704,4.31089085211966,0.350261409310314,"ar","1y"
132,0.348360765147788,0.089346833523122,0.151902136163585,3.18160134337756,11.4701621262602,2.87058733372503,4.24535742942574,0.346889165983601,"ar","1y"
133,0.345211030220595,0.0888918804965149,0.195618400200939,3.25043068930614,14.171433473055,2.89677881775963,4.20573012838269,0.344820278505873,"ar","1y"
134,0.347813820502916,0.0889748322306807,0.224205895679122,3.24737384429819,16.5679846335286,2.87510139348133,4.24465604446449,0.346852744520089,"ar","1y"
135,0.352291513880679,0.0891651009888234,0.235882621611272,3.22625998039488,18.1912301742293,2.83855829788367,4.31653963954537,0.350549269221042,"ar","1y"
136,0.35021686879541,0.0890378902334118,0.260396140269299,3.25235618045606,21.3568161485603,2.85537359590803,4.30890190928352,0.35015994823694,"ar","1y"
137,0.344729834413594,0.088999887302325,0.26456823414075,3.25923462901161,22.0048675024198,2.90082232569473,4.1976961170905,0.344398050946474,"ar","1y"
138,0.330215279115882,0.0882388437345716,0.311902595690185,3.37400129122359,38.7635018240383,3.02832746769743,3.93272724814196,0.329918462860052,"ar","1y"
139,0.339768715223021,0.0879562768381927,0.372295160924246,3.44626579202291,-165.241273626567,2.94317856587711,4.02330391684278,0.334992929071903,"ar","1y"
140,0.327451960025946,0.0881551342928605,0.349509176933883,3.4057183058284,659.115559535472,3.05388307927906,3.86423129047618,0.325989903151749,"ar","1y"
141,0.323305526438047,0.0874231054339504,0.333030505347812,3.48180545975386,63.2567695654226,3.09304950959947,3.81737224384054,0.323255435410877,"ar","1y"
142,0.318154859257915,0.0876360507138141,0.284355619088883,3.42971174723945,29.680456159652,3.14312345356744,3.68961290261361,0.315597838849583,"ar","1y"
143,0.304353588871888,0.0883706543907674,0.277944271863243,3.3604656786035,40.1058755572992,3.2856520723366,3.40382349025479,0.297300269628771,"ar","1y"
144,0.318974604085223,0.0892239027736395,0.300881660177484,3.27874999073536,140.340908066003,3.13504582243426,3.64704444207865,0.31297801016453,"ar","1y"
145,0.336608661701496,0.0907778121606087,0.285527238715969,3.16541547407058,-89.29340746545,2.97080887623384,3.84499618766404,0.324872116470441,"ar","1y"
146,0.31437365832486,0.0905286873834901,0.248192006095769,3.18108680181587,273.445753580173,3.1809280883408,3.6620277856805,0.313904154245543,"ar","1y"
147,0.323173473173281,0.090365090160696,0.22427215512615,3.19462730025322,79.0356446935575,3.09431337349837,3.81511603258857,0.323122792312251,"ar","1y"
148,0.314088175407055,0.0898532923281352,0.237551765623155,3.26058069796868,192.066048443355,3.18381931667441,3.64629104682342,0.312931325629506,"ar","1y"
149,0.310519767548559,0.0892630702354967,0.259673093349675,3.34398412047508,-197.098050190938,3.2204068935599,3.60148814851874,0.31013489325946,"ar","1y"
150,0.307281731809967,0.0893183750327572,0.257525575068158,3.33576030941432,-242.664223699172,3.254342502269,3.52392678000288,0.305197649183212,"ar","1y"
151,0.327612712679138,0.0889490744674706,0.304824447119836,3.40460921203172,-45.9669091670565,3.05238460321714,3.88149909541123,0.326987876899873,"ar","1y"
152,0.348171840241687,0.0866552117520555,0.34022587370105,3.54193340695505,132.883838660193,2.8721449710173,4.26881228321251,0.348103083772685,"ar","1y"
153,0.351892923568598,0.0866616195257002,0.355099297032492,3.54789383128895,395.505641749786,2.8417735425278,4.33958382321338,0.351719028278013,"ar","1y"
154,0.322755965109628,0.0849078851276363,0.357509550880946,3.661927857434,28.1117120527307,3.09831609048755,3.78994473718874,0.321636769817144,"ar","1y"
155,0.360936725092994,0.0832689061350722,0.356036056985327,3.78704963992139,14.6965096623496,2.77056871877572,4.50394368388789,0.359856006988744,"ar","1y"
156,0.368647857828135,0.0831674647840108,0.413577797766718,3.83970529375718,22.7328672049302,2.71261578974427,4.62183386521154,0.365480014712501,"ar","1y"
157,0.386098511533747,0.0832813156819148,0.413523553291199,3.8251860939947,23.6560649543211,2.59001257484152,4.98415188348486,0.381756407255767,"ar","1y"
158,0.396529308890059,0.0832277693083296,0.463075827623356,3.86703391277061,42.3670839919687,2.52188168082491,5.29035406084498,0.394452239584691,"ar","1y"
159,0.415024143146689,0.0836532771430552,0.467704240474199,3.81341121180873,62.403131266058,2.40949837861975,5.69053545076824,0.409779919316747,"ar","1y"
160,0.405764940795447,0.0817071405047806,0.468308880280996,4.04664229673114,-272.86460645115,2.464481031899,5.54038690935873,0.404184951460201,"ar","1y"
161,0.402756458064088,0.0814542350346805,0.490883396101492,4.10863036724436,-89.9584788863403,2.48289004428795,5.49865634570922,0.402597565972891,"ar","1y"
162,0.405211306037896,0.0813395837542995,0.501150035843353,4.13739448469611,-69.2390893992753,2.46784821918685,5.55227021338048,0.404634357581817,"ar","1y"
163,0.400962196966503,0.0817155149789035,0.521085935293045,4.09068722585454,-38.9055011803947,2.49400070022945,5.36293270790754,0.397333221993285,"ar","1y"
164,0.41531269396276,0.0820761793620804,0.555696018510041,4.06234366171369,-23.6133738475584,2.40782430813364,5.72812388733902,0.411152843829832,"ar","1y"
165,0.389311204076349,0.0807935209329687,0.547505414025027,4.14232905159067,-123.270144575988,2.56863914916738,5.09165994896573,0.386317326467713,"ar","1y"
166,0.388825483539165,0.0799715984383465,0.532135969385116,4.2445321891269,95.0465154826095,2.57184789149571,5.15098507298128,0.388785318284714,"ar","1y"
