timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
1,NA,croot,1y,,,,,,,
2,NA,croot,1y,,,,,,,
3,NA,croot,1y,,,,,,,
4,NA,croot,1y,,,,,,,
5,NA,croot,1y,,,,,,,
6,NA,croot,1y,,,,,,,
7,NA,croot,1y,,,,,,,
8,NA,croot,1y,,,,,,,
9,NA,croot,1y,,,,,,,
10,NA,croot,1y,,,,,,,
11,NA,croot,1y,,,,,,,
12,NA,croot,1y,,,,,,,
13,NA,croot,1y,,,,,,,
14,NA,croot,1y,,,,,,,
15,NA,croot,1y,,,,,,,
16,NA,croot,1y,,,,,,,
17,NA,croot,1y,,,,,,,
18,NA,croot,1y,,,,,,,
19,NA,croot,1y,,,,,,,
20,NA,croot,1y,,,,,,,
21,NA,croot,1y,,,,,,,
22,NA,croot,1y,,,,,,,
23,NA,croot,1y,,,,,,,
24,NA,croot,1y,,,,,,,
25,NA,croot,1y,,,,,,,
26,NA,croot,1y,,,,,,,
27,NA,croot,1y,,,,,,,
28,NA,croot,1y,,,,,,,
29,NA,croot,1y,,,,,,,
30,NA,croot,1y,,,,,,,
31,NA,croot,1y,,,,,,,
32,NA,croot,1y,,,,,,,
33,NA,croot,1y,,,,,,,
34,NA,croot,1y,,,,,,,
35,NA,croot,1y,,,,,,,
36,NA,croot,1y,,,,,,,
37,NA,croot,1y,,,,,,,
38,NA,croot,1y,,,,,,,
39,NA,croot,1y,,,,,,,
40,NA,croot,1y,,,,,,,
41,NA,croot,1y,,,,,,,
42,NA,croot,1y,,,,,,,
43,NA,croot,1y,,,,,,,
44,NA,croot,1y,,,,,,,
45,NA,croot,1y,,,,,,,
46,NA,croot,1y,,,,,,,
47,NA,croot,1y,,,,,,,
48,NA,croot,1y,,,,,,,
49,NA,croot,1y,,,,,,,
50,NA,croot,1y,,,,,,,
51,NA,croot,1y,,,,,,,
52,NA,croot,1y,,,,,,,
53,NA,croot,1y,,,,,,,
54,NA,croot,1y,,,,,,,
55,NA,croot,1y,,,,,,,
56,NA,croot,1y,,,,,,,
57,NA,croot,1y,,,,,,,
58,NA,croot,1y,,,,,,,
59,NA,croot,1y,,,,,,,
60,NA,croot,1y,,,,,,,
61,NA,croot,1y,,,,,,,
62,NA,croot,1y,,,,,,,
63,NA,croot,1y,,,,,,,
64,NA,croot,1y,,,,,,,
65,NA,croot,1y,,,,,,,
66,NA,croot,1y,,,,,,,
67,NA,croot,1y,,,,,,,
68,-0.276779076686671,croot,1y,0.0241926465769513,0.0376870614246273,2.72298668510517,-85.8733762694738,-3.61298986892733,0.323046027509382,-0.275294160897384
69,-0.266168464222981,croot,1y,0.0242055303468428,0.0422996874039434,2.71767953438853,-100.736202588028,-3.75701908533483,0.336782840113857,-0.265643228499602
70,-0.240174898514479,croot,1y,0.0238707949058214,0.0774401012356765,2.77287527833204,34.0476310388023,-4.16363244529368,0.380890731769784,-0.236813683603307
71,-0.203638200949816,croot,1y,0.0236894448596066,0.0773644402435128,2.8260863187382,46.3408127473314,-4.91066997908923,0.440432050955948,-0.202249305752828
72,-0.184384861696214,croot,1y,0.0232497203897246,0.0982457797901937,2.95486790103054,21.0529981963539,-5.42343872919224,0.474436869146276,-0.18434700111117
73,-0.183728464077916,croot,1y,0.0232716282518736,0.0395628389430971,2.9394120468192,59.833460081527,-5.44281478114311,0.481753740987348,-0.180647336411404
74,-0.16994381686675,croot,1y,0.0232657018458844,0.0417549401663402,2.94243490825878,57.1005041761109,-5.88429763693068,0.503943544625556,-0.169732231018637
75,-0.171625008044396,croot,1y,0.0230768489758157,0.0099982015447181,3.00125685088205,-82.2495040730244,-5.82665668246508,0.502828185636258,-0.170270299744277
76,-0.167433486075507,croot,1y,0.0230878573403062,0.0236986030594907,2.99591873957757,-59.5965815681658,-5.97252093018618,0.509078416383482,-0.167269051922018
77,-0.167574607280735,croot,1y,0.0230879881596955,0.0221270202697677,2.99580283826739,-61.5028443361165,-5.96749123406697,0.508442995269621,-0.167572624516099
78,-0.130101381024209,croot,1y,0.022596456928727,0.0642360091074877,3.08214995499947,51724.0672011072,-7.68631348973861,0.595258444617463,-0.129022360887562
79,-0.112331117346323,croot,1y,0.0221630105626698,0.091801386529597,3.21547335607328,-31.0697556684229,-8.90225276507261,0.63794746566197,-0.111953326340559
80,-0.133795944552378,croot,1y,0.0223954538384222,0.0418917630104526,3.12295260194702,-392.565884928142,-7.47406809186598,0.592246556178077,-0.130269613267909
81,-0.0757160825595081,croot,1y,0.0223662062441134,0.0157044541778595,3.13118866120323,33.6013664993901,-13.2072337368229,0.742032409198327,-0.0744878243305084
82,-0.0916184746088176,croot,1y,0.0216787359095551,0.0716127996424211,3.25099851300983,257.267348768292,-10.9148291790459,0.692887970898724,-0.09150724581316
83,-0.0695591884532051,croot,1y,0.0218430203472859,0.077670330997156,3.18020735603332,77.6449064381987,-14.3762459315168,0.760852403783297,-0.0682555505598928
84,-0.11405276161888,croot,1y,0.0219460928005449,0.103399535212821,3.22232018015584,92.3729740387063,-8.76787186742228,0.65778657449675,-0.104384103896761
85,-0.134061107149962,croot,1y,0.0220561202570462,0.126238485615295,3.17036375743813,46.2132044965428,-7.45928495787664,0.586343660793264,-0.132731344550522
86,-0.152316897441343,croot,1y,0.0224721248548947,0.10322379515974,3.02366530795626,-251.623722611626,-6.56525977615255,0.553704184649009,-0.146774699949204
87,-0.104289956797585,croot,1y,0.0230187959224344,0.103003559344631,2.8857955327258,-33.4124874637365,-9.58865101402702,0.67098631552208,-0.0994668660887709
88,-0.1319528731698,croot,1y,0.0230881602959843,0.0957234643637429,2.87607543939739,-36.0631429428506,-7.57846324962686,0.598496544634055,-0.127687998111613
89,-0.139044334228224,croot,1y,0.0231471302238682,0.087820630396564,2.84964825119059,-31.5847486230547,-7.19195072241221,0.574258594811034,-0.137844233457607
90,-0.146033350646575,croot,1y,0.0232075456629432,0.0884853347765492,2.82988174636526,-34.7751087197493,-6.84775084302604,0.560372759414912,-0.143844094156167
91,-0.136718720647257,croot,1y,0.0231955068990319,0.117546017785959,2.83965894185438,-53.2162254883577,-7.31428728462184,0.577283312763701,-0.136555210849743
92,-0.133645744526197,croot,1y,0.0234476231837127,0.11764931752839,2.7671316446883,-144.62569549469,-7.48246794946758,0.592155435472771,-0.130307439565072
93,-0.115889409855025,croot,1y,0.0235008466848269,0.128548877899014,2.74671914699694,-512.593269097324,-8.62891614730783,0.629529119635305,-0.11523257051304
94,-0.121918508591994,croot,1y,0.023569233923297,0.179808665615743,2.73519395375628,50.2375177799525,-8.20220007239874,0.616064439913145,-0.120564385738978
95,-0.0886859647582587,croot,1y,0.0231567941378222,0.208756123254305,2.8662627185318,22.2594835093581,-11.2757413501202,0.700857218981732,-0.0886704006187594
96,-0.0789937360156688,croot,1y,0.0227911536178565,0.215952044885761,2.96174150429737,35.5586193003807,-12.6592316104868,0.729064783409454,-0.0788712550087278
97,-0.0816890066868106,croot,1y,0.0230739775809896,0.207991154988638,2.86264404889115,65.8332087881801,-12.2415492678706,0.727564783085092,-0.0793831236521206
98,-0.0510782130763928,croot,1y,0.0232520521468499,0.153759877654982,2.78305775195784,-101.648818101249,-19.5778187953521,0.818367623982639,-0.0500939079222096
99,-0.0409223051531884,croot,1y,0.023203951932675,0.180963441927128,2.81132993984539,-2407.48201019166,-24.4365510754246,0.849019359269806,-0.040916220097744
100,-0.0591043198137143,croot,1y,0.0228626843719895,0.165811453834277,2.90581977166456,-45.265307841302,-16.9192370904836,0.789329829395788,-0.0591027480505604
101,-0.0642366697749052,croot,1y,0.0228702929080889,0.166072886818934,2.90309783390484,-46.1334042672933,-15.5674321770439,0.775217408216532,-0.0635978849025314
102,-0.0723593074959277,croot,1y,0.0229443695841578,0.122897438325821,2.86089915299252,-26.5451826776452,-13.8199221994528,0.750170262418262,-0.0717744777590925
103,-0.0907534723898073,croot,1y,0.023335511871082,0.136724493773199,2.76191157769903,-74.753634394592,-11.0188621290959,0.703412628965871,-0.0877672609166758
104,-0.0405882067258109,croot,1y,0.0234953507311664,0.178410669033166,2.75987702434366,39.5740774281078,-24.6376985008327,0.854572381283644,-0.0392882753220975
105,-0.0185374820028983,croot,1y,0.0234678908235771,0.177263600474109,2.76889197619262,42.0048445201404,-53.9447590478388,0.929098704240068,-0.0183927462198093
106,-0.0090162218010898,croot,1y,0.0236420624074442,0.219836699431684,2.72593080366707,21.8145444195157,-110.911202281994,0.965189517210177,-0.0088622546312133
107,-0.013933341460628,croot,1y,0.0236175017913359,0.235494603972258,2.74177703764446,19.5706631414136,-71.7702930647139,0.945816442481539,-0.0139332374822475
