timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
1,NA,csap,1y,,,,,,,
2,NA,csap,1y,,,,,,,
3,NA,csap,1y,,,,,,,
4,NA,csap,1y,,,,,,,
5,NA,csap,1y,,,,,,,
6,NA,csap,1y,,,,,,,
7,NA,csap,1y,,,,,,,
8,NA,csap,1y,,,,,,,
9,NA,csap,1y,,,,,,,
10,NA,csap,1y,,,,,,,
11,NA,csap,1y,,,,,,,
12,NA,csap,1y,,,,,,,
13,NA,csap,1y,,,,,,,
14,NA,csap,1y,,,,,,,
15,NA,csap,1y,,,,,,,
16,NA,csap,1y,,,,,,,
17,NA,csap,1y,,,,,,,
18,NA,csap,1y,,,,,,,
19,NA,csap,1y,,,,,,,
20,NA,csap,1y,,,,,,,
21,NA,csap,1y,,,,,,,
22,NA,csap,1y,,,,,,,
23,NA,csap,1y,,,,,,,
24,NA,csap,1y,,,,,,,
25,NA,csap,1y,,,,,,,
26,NA,csap,1y,,,,,,,
27,NA,csap,1y,,,,,,,
28,NA,csap,1y,,,,,,,
29,NA,csap,1y,,,,,,,
30,NA,csap,1y,,,,,,,
31,NA,csap,1y,,,,,,,
32,NA,csap,1y,,,,,,,
33,NA,csap,1y,,,,,,,
34,NA,csap,1y,,,,,,,
35,NA,csap,1y,,,,,,,
36,NA,csap,1y,,,,,,,
37,NA,csap,1y,,,,,,,
38,NA,csap,1y,,,,,,,
39,NA,csap,1y,,,,,,,
40,NA,csap,1y,,,,,,,
41,NA,csap,1y,,,,,,,
42,NA,csap,1y,,,,,,,
43,NA,csap,1y,,,,,,,
44,NA,csap,1y,,,,,,,
45,NA,csap,1y,,,,,,,
46,NA,csap,1y,,,,,,,
47,NA,csap,1y,,,,,,,
48,NA,csap,1y,,,,,,,
49,NA,csap,1y,,,,,,,
50,NA,csap,1y,,,,,,,
51,NA,csap,1y,,,,,,,
52,NA,csap,1y,,,,,,,
53,NA,csap,1y,,,,,,,
54,NA,csap,1y,,,,,,,
55,NA,csap,1y,,,,,,,
56,NA,csap,1y,,,,,,,
57,NA,csap,1y,,,,,,,
58,NA,csap,1y,,,,,,,
59,NA,csap,1y,,,,,,,
60,NA,csap,1y,,,,,,,
61,NA,csap,1y,,,,,,,
62,NA,csap,1y,,,,,,,
63,NA,csap,1y,,,,,,,
64,NA,csap,1y,,,,,,,
65,NA,csap,1y,,,,,,,
66,NA,csap,1y,,,,,,,
67,NA,csap,1y,,,,,,,
68,-0.139590920465125,csap,1y,0.371347307379044,0.0951676503300302,2.66411431894433,-185.20158969526,-7.16378971259694,0.571691031029608,-0.13894340253997
69,-0.133576644895235,csap,1y,0.372127779839645,0.0754154318473726,2.64061640834746,583.598798559625,-7.48633865436808,0.585656056858676,-0.133019604578109
70,-0.113945402836748,csap,1y,0.371162368979648,0.0246152703277653,2.64372830728508,25.7108055200816,-8.77613291194133,0.638881769969024,-0.11159190138448
71,-0.0770762778177291,csap,1y,0.374677941340485,0.0223762607094169,2.58280828960815,20.7054437636684,-12.9741605110305,0.739842450217293,-0.0752228987138793
72,-0.0504873095107242,csap,1y,0.369691418103449,0.008531566782946,2.67219536922265,13.931602560256,-19.8069576234318,0.817157097974708,-0.0504632111048258
73,-0.0510544841229922,csap,1y,0.370125417826993,0.0471787710401757,2.66885106596127,26.7770015091336,-19.5869181165549,0.818722742580674,-0.049985670522211
74,-0.0355982795781823,csap,1y,0.370964815228117,0.0608410232504173,2.64777490061971,31.5902505092382,-28.0912451907616,0.867922971595343,-0.0354164138360222
75,-0.0363359420761967,csap,1y,0.369371591865404,0.115545086268726,2.68109794827949,-306.55116238149,-27.5209597676866,0.86681738133966,-0.0357348239410315
76,-0.0346953433138741,csap,1y,0.368735952668545,0.139139154232641,2.70299029846378,-87.455950793249,-28.8223117135179,0.870439531133077,-0.0346931268633217
77,-0.0343781948583371,csap,1y,0.368906332672141,0.149806762774326,2.70019437571096,-66.2221174374574,-29.0882055942937,0.871646659387244,-0.0343469133947419
78,0.0091886325472941,csap,1y,0.361850355765117,0.181981335381779,2.77185005757336,773.088281992914,108.830121876457,1.03721096652517,0.0091386977605034
79,0.034480186444799,csap,1y,0.35498419012241,0.217200294555835,2.89618896008052,-32.4655566834251,29.0021633612959,1.14731629506429,0.0343631060221914
80,0.0103338838378005,csap,1y,0.357592464046863,0.159656041000849,2.82306596129394,-12011.5882787826,96.7690382140814,1.04116517488563,0.0100904279402371
81,0.0644838382721162,csap,1y,0.35579163598006,0.105716756052797,2.83983870744028,31.989307620059,15.5077617399276,1.29054991417823,0.0637205951822713
82,0.0749358789471488,csap,1y,0.34625657403044,0.0602656924002446,2.92449229477164,92.1235022274069,13.3447423857574,1.3479655847939,0.0745583398553617
83,0.0846482773098041,csap,1y,0.349827562392158,0.0311346422050264,2.83185519194955,35.9065623718462,11.8135894997615,1.39425978961587,0.0829540480755047
84,0.0748826535964498,csap,1y,0.349400170741137,0.0379960117350103,2.82027433640908,35.1893736925686,13.3542276077595,1.31958696217347,0.0692625529675346
85,0.0520205780850003,csap,1y,0.348614763508414,0.0450192404265558,2.84281374082505,40.2386669406463,19.2231620026603,1.2304673295727,0.0518336969221302
86,0.0370708011131889,csap,1y,0.358607854089293,0.0234303441240234,2.75036153624944,-161.733300260792,26.9754084069206,1.15049762381151,0.03505496046683
87,0.0761981595000592,csap,1y,0.364387720288411,0.0425965982159723,2.65049066585325,-35.1846430949197,13.1236765633325,1.34403610027893,0.0738319754528927
88,0.060109560415459,csap,1y,0.363805618132502,0.0428493840075012,2.66140594399872,-33.2624415241345,16.6362886883269,1.26799398923047,0.0593261226444309
89,0.0514498937418627,csap,1y,0.36552231670824,0.0563142068112508,2.62145054277194,-26.5918035194918,19.4363861083417,1.22579383828686,0.0508842219218936
90,0.0553045230263776,csap,1y,0.365859819792638,0.0553641301270003,2.61432421093534,-27.3867602132664,18.0817037247215,1.24440408032892,0.054643306333063
91,0.0741920275321932,csap,1y,0.36160714238795,0.03839042325544,2.69699321193296,-48.3068515060631,13.4785371590779,1.34580213887565,0.0741586992502248
92,0.070065544316477,csap,1y,0.36433737087583,0.0485106132465419,2.66498677490027,-68.0958714932484,14.2723504078285,1.31218809784449,0.0678624654181815
93,0.0895247303477956,csap,1y,0.366629282349655,0.0224457573683166,2.6079860335172,-425.668426845232,11.1700978725665,1.42525228796255,0.0884142076328782
