timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
1,NA,csto,1y,,,,,,,
2,NA,csto,1y,,,,,,,
3,NA,csto,1y,,,,,,,
4,NA,csto,1y,,,,,,,
5,NA,csto,1y,,,,,,,
6,NA,csto,1y,,,,,,,
7,NA,csto,1y,,,,,,,
8,NA,csto,1y,,,,,,,
9,NA,csto,1y,,,,,,,
10,NA,csto,1y,,,,,,,
11,NA,csto,1y,,,,,,,
12,NA,csto,1y,,,,,,,
13,NA,csto,1y,,,,,,,
14,NA,csto,1y,,,,,,,
15,NA,csto,1y,,,,,,,
16,NA,csto,1y,,,,,,,
17,NA,csto,1y,,,,,,,
18,NA,csto,1y,,,,,,,
19,NA,csto,1y,,,,,,,
20,NA,csto,1y,,,,,,,
21,NA,csto,1y,,,,,,,
22,NA,csto,1y,,,,,,,
23,NA,csto,1y,,,,,,,
24,NA,csto,1y,,,,,,,
25,NA,csto,1y,,,,,,,
26,NA,csto,1y,,,,,,,
27,NA,csto,1y,,,,,,,
28,NA,csto,1y,,,,,,,
29,NA,csto,1y,,,,,,,
30,NA,csto,1y,,,,,,,
31,NA,csto,1y,,,,,,,
32,NA,csto,1y,,,,,,,
33,NA,csto,1y,,,,,,,
34,NA,csto,1y,,,,,,,
35,NA,csto,1y,,,,,,,
36,NA,csto,1y,,,,,,,
37,NA,csto,1y,,,,,,,
38,NA,csto,1y,,,,,,,
39,NA,csto,1y,,,,,,,
40,NA,csto,1y,,,,,,,
41,NA,csto,1y,,,,,,,
42,NA,csto,1y,,,,,,,
43,NA,csto,1y,,,,,,,
44,NA,csto,1y,,,,,,,
45,NA,csto,1y,,,,,,,
46,NA,csto,1y,,,,,,,
47,NA,csto,1y,,,,,,,
48,NA,csto,1y,,,,,,,
49,NA,csto,1y,,,,,,,
50,NA,csto,1y,,,,,,,
51,NA,csto,1y,,,,,,,
52,NA,csto,1y,,,,,,,
53,NA,csto,1y,,,,,,,
54,NA,csto,1y,,,,,,,
55,NA,csto,1y,,,,,,,
56,NA,csto,1y,,,,,,,
57,NA,csto,1y,,,,,,,
58,NA,csto,1y,,,,,,,
59,NA,csto,1y,,,,,,,
60,NA,csto,1y,,,,,,,
61,NA,csto,1y,,,,,,,
62,NA,csto,1y,,,,,,,
63,NA,csto,1y,,,,,,,
64,NA,csto,1y,,,,,,,
65,NA,csto,1y,,,,,,,
66,NA,csto,1y,,,,,,,
67,NA,csto,1y,,,,,,,
68,0.419654916947654,csto,1y,2.3041370354301,0.197367453688083,2.25470555300091,-47.5585984871685,2.38291024271434,5.90878730278513,0.417603555856394
69,0.417587307075681,csto,1y,2.30474953616413,0.223569633773973,2.26005806577425,-33.2893103306622,2.39470880234098,5.88886129910924,0.416903822777916
70,0.427687783071239,csto,1y,2.30082069128577,0.27794530009133,2.29370026291867,-19.3061295769159,2.33815423208718,6.12430195445819,0.424994323126669
