timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
1,NA,f5,3y,,,,,,,
2,NA,f5,3y,,,,,,,
3,NA,f5,3y,,,,,,,
4,NA,f5,3y,,,,,,,
5,NA,f5,3y,,,,,,,
6,NA,f5,3y,,,,,,,
7,NA,f5,3y,,,,,,,
8,NA,f5,3y,,,,,,,
9,NA,f5,3y,,,,,,,
10,NA,f5,3y,,,,,,,
11,NA,f5,3y,,,,,,,
12,NA,f5,3y,,,,,,,
13,NA,f5,3y,,,,,,,
14,NA,f5,3y,,,,,,,
15,NA,f5,3y,,,,,,,
16,NA,f5,3y,,,,,,,
17,NA,f5,3y,,,,,,,
18,NA,f5,3y,,,,,,,
19,NA,f5,3y,,,,,,,
20,NA,f5,3y,,,,,,,
21,NA,f5,3y,,,,,,,
22,NA,f5,3y,,,,,,,
23,NA,f5,3y,,,,,,,
24,NA,f5,3y,,,,,,,
25,NA,f5,3y,,,,,,,
26,NA,f5,3y,,,,,,,
27,NA,f5,3y,,,,,,,
28,NA,f5,3y,,,,,,,
29,NA,f5,3y,,,,,,,
30,NA,f5,3y,,,,,,,
31,NA,f5,3y,,,,,,,
32,NA,f5,3y,,,,,,,
33,NA,f5,3y,,,,,,,
34,NA,f5,3y,,,,,,,
35,NA,f5,3y,,,,,,,
36,NA,f5,3y,,,,,,,
37,NA,f5,3y,,,,,,,
38,NA,f5,3y,,,,,,,
39,NA,f5,3y,,,,,,,
40,NA,f5,3y,,,,,,,
41,NA,f5,3y,,,,,,,
42,NA,f5,3y,,,,,,,
43,NA,f5,3y,,,,,,,
44,NA,f5,3y,,,,,,,
45,NA,f5,3y,,,,,,,
46,NA,f5,3y,,,,,,,
47,NA,f5,3y,,,,,,,
48,NA,f5,3y,,,,,,,
49,NA,f5,3y,,,,,,,
50,NA,f5,3y,,,,,,,
51,NA,f5,3y,,,,,,,
52,NA,f5,3y,,,,,,,
53,NA,f5,3y,,,,,,,
54,NA,f5,3y,,,,,,,
55,NA,f5,3y,,,,,,,
56,NA,f5,3y,,,,,,,
57,NA,f5,3y,,,,,,,
58,NA,f5,3y,,,,,,,
59,NA,f5,3y,,,,,,,
60,NA,f5,3y,,,,,,,
61,NA,f5,3y,,,,,,,
62,NA,f5,3y,,,,,,,
63,NA,f5,3y,,,,,,,
64,NA,f5,3y,,,,,,,
65,NA,f5,3y,,,,,,,
66,NA,f5,3y,,,,,,,
67,NA,f5,3y,,,,,,,
68,0.349225002918483,f5,3y,0.0236427433395771,0.450372206209573,3.00430490704244,-141.557748594854,2.86348340365945,4.02880293105534,0.335296711582554
69,0.36661658644257,f5,3y,0.0238166794219915,0.394035215456124,2.90007551171878,-34.2570556399788,2.7276452756909,4.51510340094273,0.360395783517487
70,0.380741633270972,f5,3y,0.0238048306359545,0.39671474824052,2.90682485435858,-35.3899895105247,2.62645298705304,4.92976493807397,0.379404313119123
71,0.387791063821898,f5,3y,0.023515593180471,0.369490870762147,2.95887988300451,-18.1031417756168,2.57870820989128,5.10076955152149,0.386698516160363
72,0.384335824820903,f5,3y,0.0235029397960176,0.358352207039633,2.95934050564183,-16.8787425970133,2.60189119883891,5.04461725054392,0.384335824666205
73,0.390109534674498,f5,3y,0.023515355755285,0.358826696586477,2.95524745353814,-17.0967767940168,2.56338261722925,5.1056136964649,0.386900888461314
74,0.394950883086276,f5,3y,0.0236184285085665,0.394750712406202,2.9353626277161,-23.879863809883,2.53196041033171,5.20689584781526,0.391080450341912
75,0.391603144005028,f5,3y,0.0237059154652009,0.432982710203828,2.92572256284228,-40.1310325291327,2.55360564721911,5.13339403344617,0.388057058222018
76,0.387809718849495,f5,3y,0.0232495611769696,0.420065334217208,3.02408850307512,-92.410899445475,2.57858416484938,5.02786976737412,0.383625083765594
77,0.356889009032574,f5,3y,0.0235064081511777,0.447162326959628,2.97338937190498,75.3561366952087,2.80199158475269,4.27786588022818,0.348569567845376
78,0.390115568024757,f5,3y,0.0228944505858862,0.479745064924907,3.15120348156975,20.3846116912494,2.56334297311749,5.15667530644364,0.389020256671613
79,0.384264577046743,f5,3y,0.0228637202336213,0.466766160495868,3.15749188810529,22.830746878821,2.60237362414583,5.04225855128288,0.384235894594354
80,0.389233014480183,f5,3y,0.0227568190972421,0.420729984293475,3.16323251114714,47.6989781471029,2.56915514048954,5.11618949179298,0.38734191642033
81,0.396354563207333,f5,3y,0.0229458664478284,0.381533214818281,3.05397073571092,186.091511124103,2.52299353363796,5.17916390499595,0.389945750322673
82,0.419091379908449,f5,3y,0.0233257487379194,0.362862114765478,2.91278915012413,-83.3549683284953,2.38611445603689,5.56248682869606,0.405019810744695
83,0.422214143894139,f5,3y,0.0232986417139199,0.3061572718209,2.88693685611947,-26.0495721746709,2.36846636821984,5.91342334503808,0.417765949728488
84,0.411513714482497,f5,3y,0.0233905949476485,0.310190835444614,2.85715662607277,-30.4631400560642,2.43005266849383,5.60423242355983,0.406586008028938
85,0.424484170601473,f5,3y,0.0235289016154977,0.351844224442845,2.8320103927307,-85.1307090899927,2.35580044971536,5.93290631778599,0.418446735024388
86,0.435269125694258,f5,3y,0.0235804474193787,0.355781297914461,2.81580114416164,-120.901988067421,2.29742920177256,6.32871141356279,0.431719163826894
87,0.436775836354391,f5,3y,0.0235554414282442,0.398058128744704,2.84943569881992,149.084144030708,2.28950394405203,6.4491008608622,0.435557777163423
88,0.434817851322636,f5,3y,0.0236205181330975,0.429772212307075,2.84253582701362,50.6444791059848,2.29981358161396,6.34108638824462,0.432117810637493
89,0.449593140719154,f5,3y,0.0233570938171008,0.490539050850704,2.97024909541225,18.4598255703408,2.22423322206481,6.76034940420896,0.445091018367518
90,0.454301750366058,f5,3y,0.0234304880914815,0.521736889063929,2.96412235170136,14.7983201999122,2.20118016097063,6.96772000098497,0.451150388516175
91,0.45334264225865,f5,3y,0.0234397191610143,0.527545011141349,2.96416303065048,14.3371821189836,2.20583705741376,7.02972931902614,0.452919617702387
92,0.441235774477444,f5,3y,0.0236934961926418,0.471847078369636,2.82931529167164,21.5375239667467,2.26636201741416,6.31927936799497,0.431414684795572
93,0.436809954961098,f5,3y,0.0236519468897316,0.447031590401095,2.74834953070908,792.3987051247,2.28932511414274,6.0527505180261,0.42257588387458
94,0.449570664784444,f5,3y,0.023193221992722,0.459304279298298,2.81210422041799,-39.7220548976912,2.22434442086979,6.90819809380724,0.449433927413402
95,0.452199663296471,f5,3y,0.0232077796018356,0.485743837263985,2.82322117226186,-63.4812736520917,2.21141252673685,6.97018064699301,0.45122096120536
96,0.447525261038888,f5,3y,0.0231290399020108,0.48205254668788,2.8454492103416,-47.7521806718705,2.2345107350557,6.79001298059415,0.445971596298806
97,0.456222447476446,f5,3y,0.023142814086971,0.481496525552837,2.84193592739066,-49.295942105315,2.19191318956665,6.93806206248209,0.45029737831401
98,0.466852852032617,f5,3y,0.0233582459153141,0.490774087670885,2.79009828408876,-178.31785839427,2.14200255100966,7.22151299575597,0.458272878386227
99,0.459080570205558,f5,3y,0.0233665195804355,0.52609579544252,2.81235931005702,141.588885870392,2.17826687710229,7.19999959283145,0.457681096887838
100,0.491701044373951,f5,3y,0.0233709702224574,0.573526174735526,2.8979753112179,21.7071362803641,2.03375610331117,8.03070245165138,0.479077539428804
101,0.505738222508227,f5,3y,0.0233714535278277,0.573550324203167,2.89784376192342,21.6922046679321,1.97730753875091,9.09455024527546,0.502790702416612
102,0.524460680070721,f5,3y,0.0231056831017719,0.629343728701957,3.04837723132983,14.6472320356922,1.90672063321345,10.2074532910207,0.524152692328942
103,0.527803957754051,f5,3y,0.0232553704006359,0.571073913856291,2.93606177550909,21.3301067591025,1.89464285992714,9.97118582872214,0.519869675443988
104,0.560541248473768,f5,3y,0.0234320967859797,0.562973708737522,2.87095599078008,25.1682123909539,1.78399003235316,11.5307700873688,0.546029531236923
105,0.583191431812873,f5,3y,0.0246410459848831,0.656300333252273,3.07235096594581,-53.0169493421428,1.71470283246697,9.88713308205516,0.51831512860505
106,0.595017463405716,f5,3y,0.0248714874367065,0.665120645454458,2.94483343524514,-13.8150279075599,1.68062294218438,12.5356256289703,0.560618311625256
107,0.587489928774632,f5,3y,0.0248194942066381,0.612754811104524,2.87168393301323,-9.42258270665825,1.70215683881725,13.8477917173887,0.577566811152664
108,0.569515698989431,f5,3y,0.0246461613364806,0.60299611576366,2.9089100694635,-8.39912653499469,1.75587784809872,13.1862183895905,0.569291407536214
109,0.578909741146606,f5,3y,0.0244897688786751,0.573464446430512,2.92778475262409,-7.25374523468939,1.72738499445418,13.9126272032558,0.578350481714427
110,0.575673921858175,f5,3y,0.024651398039128,0.598951613515298,2.90293281077202,-8.30640800277693,1.73709449400135,13.0883981841833,0.568022700146353
111,0.568963404833732,f5,3y,0.0247477660553104,0.550769622437901,2.82614891782493,-7.34063986265759,1.75758228298045,12.7680892570713,0.563782000588088
112,0.530942281622584,f5,3y,0.0241570161879791,0.504794315932242,2.8264403660983,-12.3507032088015,1.8834438970352,9.55404052830151,0.511987538548579
113,0.499186077604133,f5,3y,0.0239011018367471,0.551219772820714,2.94676824998533,-25.6183699101927,2.00326099798205,8.44300495423403,0.488706698016694
114,0.509209317430622,f5,3y,0.0227974273389826,0.505282523556073,2.97764586098874,11089.7941882639,1.96382895161035,9.3994032355924,0.508955303375688
115,0.514431149888969,f5,3y,0.0227034144738121,0.523845391470755,3.034045006436,147.617356030543,1.94389472763427,9.62073636720571,0.513276454269882
116,0.52563243575967,f5,3y,0.0231573083515011,0.482239269567978,2.85664404579581,-53.7163114715151,1.90247011403463,9.22535705797799,0.505466968080224
117,0.548517761880748,f5,3y,0.0231715358551791,0.483419071368417,2.85610328011156,-52.7380674742388,1.82309501987906,10.2356528332707,0.524655555762288
118,0.619234245359581,f5,3y,0.0248833677212324,0.72662047764811,3.42772427384027,-19.3312734625657,1.614897766869,10.6920473228748,0.532559295950122
119,0.5984709542731,f5,3y,0.0252582425925011,0.661561342552518,3.22258756046638,-12.8294713796795,1.67092486754782,14.0420308074981,0.579900664487149
120,0.576669219931592,f5,3y,0.0252391673011149,0.659445826214327,3.22747832003462,-12.568685262964,1.73409636831081,13.6469107955474,0.575108544579634
121,0.582003732568561,f5,3y,0.0253388219169177,0.698470281554985,3.23617137246174,-16.6118419808571,1.71820203899156,13.7076291684826,0.575856450854334
122,0.586322428736588,f5,3y,0.0254725980708519,0.71720394083262,3.21249168967714,-21.248692057219,1.70554621653278,14.0725952962435,0.580264133048928
123,0.589075890054332,f5,3y,0.0255690884614911,0.74422978699202,3.20881310858198,-30.13050351485,1.6975741443225,14.4259119604419,0.584393436011466
124,0.598644870621176,f5,3y,0.0259076085440404,0.74836160632508,3.16179943115428,-105.224667057135,1.67043943592528,14.2936749088645,0.582863325342599
125,0.610317744447411,f5,3y,0.0261939018513682,0.760735804795627,3.12562531828081,81.0939690727139,1.63849078467383,15.5528966286388,0.596740879303783
126,0.613004634886949,f5,3y,0.0261923972306828,0.760660727210746,3.12596142201205,81.7559310382885,1.63130903599843,16.9081000599592,0.610140161956026
127,0.61735452638668,f5,3y,0.0261810884822596,0.790058016504511,3.16174865700152,45.4178994410098,1.61981480212498,17.6174958917428,0.616610610515573
128,0.60083263084788,f5,3y,0.0262017769112765,0.738180517432992,3.0932573155508,397.717502660354,1.66435700835493,15.5326915136646,0.596529772905572
129,0.614156569314863,f5,3y,0.0258857072484344,0.738834720367212,3.00527214684128,-24.6384814176634,1.6282492933611,16.0405274548351,0.601730668211067
130,0.623663505839476,f5,3y,0.0259601557037798,0.674948064947766,2.9023482026975,-14.6208762134615,1.60342875707303,17.2895956856398,0.613662725969158
131,0.607381358090156,f5,3y,0.0259586354082458,0.674348393883583,2.90233287439006,-14.566543715807,1.64641207155977,16.5706332034,0.606937000679095
132,0.591203959860356,f5,3y,0.025782977175315,0.662620988529435,2.93445847332092,-12.2070798664186,1.69146363673918,15.0263240550177,0.591120404786893
133,0.623487733521606,f5,3y,0.0253390257154475,0.725407642089134,2.97707654883579,-10.2823033773139,1.60388079225194,17.743086484985,0.617720845645103
134,0.631341991075662,f5,3y,0.0255826765283665,0.740790666146576,2.94783267671627,-13.017431025095,1.58392759254969,17.9193080806376,0.619261528659227
