timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
1,NA,lai,3y,,,,,,,
2,NA,lai,3y,,,,,,,
3,NA,lai,3y,,,,,,,
4,NA,lai,3y,,,,,,,
5,NA,lai,3y,,,,,,,
6,NA,lai,3y,,,,,,,
7,NA,lai,3y,,,,,,,
8,NA,lai,3y,,,,,,,
9,NA,lai,3y,,,,,,,
10,NA,lai,3y,,,,,,,
11,NA,lai,3y,,,,,,,
12,NA,lai,3y,,,,,,,
13,NA,lai,3y,,,,,,,
14,NA,lai,3y,,,,,,,
15,NA,lai,3y,,,,,,,
16,NA,lai,3y,,,,,,,
17,NA,lai,3y,,,,,,,
18,NA,lai,3y,,,,,,,
19,NA,lai,3y,,,,,,,
20,NA,lai,3y,,,,,,,
21,NA,lai,3y,,,,,,,
22,NA,lai,3y,,,,,,,
23,NA,lai,3y,,,,,,,
24,NA,lai,3y,,,,,,,
25,NA,lai,3y,,,,,,,
26,NA,lai,3y,,,,,,,
27,NA,lai,3y,,,,,,,
28,NA,lai,3y,,,,,,,
29,NA,lai,3y,,,,,,,
30,NA,lai,3y,,,,,,,
31,NA,lai,3y,,,,,,,
32,NA,lai,3y,,,,,,,
33,NA,lai,3y,,,,,,,
34,NA,lai,3y,,,,,,,
35,NA,lai,3y,,,,,,,
36,NA,lai,3y,,,,,,,
37,NA,lai,3y,,,,,,,
38,NA,lai,3y,,,,,,,
39,NA,lai,3y,,,,,,,
40,NA,lai,3y,,,,,,,
41,NA,lai,3y,,,,,,,
42,NA,lai,3y,,,,,,,
43,NA,lai,3y,,,,,,,
44,NA,lai,3y,,,,,,,
45,NA,lai,3y,,,,,,,
46,NA,lai,3y,,,,,,,
47,NA,lai,3y,,,,,,,
48,NA,lai,3y,,,,,,,
49,NA,lai,3y,,,,,,,
50,NA,lai,3y,,,,,,,
51,NA,lai,3y,,,,,,,
52,NA,lai,3y,,,,,,,
53,NA,lai,3y,,,,,,,
54,NA,lai,3y,,,,,,,
55,NA,lai,3y,,,,,,,
56,NA,lai,3y,,,,,,,
57,NA,lai,3y,,,,,,,
58,NA,lai,3y,,,,,,,
59,NA,lai,3y,,,,,,,
60,NA,lai,3y,,,,,,,
61,NA,lai,3y,,,,,,,
62,NA,lai,3y,,,,,,,
63,NA,lai,3y,,,,,,,
64,NA,lai,3y,,,,,,,
65,NA,lai,3y,,,,,,,
66,NA,lai,3y,,,,,,,
67,NA,lai,3y,,,,,,,
68,-0.018831378999998,lai,3y,0.484465808564251,0.0172809287839741,2.19009440585378,-194.146951677695,-53.1028556113764,0.928915444037473,-0.018442070822357
69,-0.0324515827015738,lai,3y,0.486402380374155,0.045341397966794,2.16116863389004,161.048663032179,-30.8151380225748,0.879179925835963,-0.0321969025240254
70,0.0102118946516963,lai,3y,0.484906009968866,0.0841954472039539,2.17313419027987,20.6463576303682,97.9250211745862,1.04052876576572,0.009937497313322
71,0.0404004109015397,lai,3y,0.479645068124338,0.054823259389755,2.2309391631284,33.9049204933779,24.7522234968627,1.17535680898703,0.0403950553880924
72,0.0723398675195636,lai,3y,0.473330809520251,0.0223081645213475,2.22604915972678,25.8384649263416,13.8236360431481,1.32760065036317,0.0707698564931885
73,0.072348827882223,lai,3y,0.469603543583059,0.0122329956843099,2.27946408982445,45.6037772106123,13.8219239934046,1.33597593064584,0.0723351445903844
74,0.0710854085153572,lai,3y,0.472636859361599,0.0466781889025176,2.23491934708896,162.933139456683,14.0675846265125,1.32442469559247,0.070173616319703
75,0.069081757800409,lai,3y,0.466488152329696,0.0887077371098456,2.30430751432099,-47.8291922489014,14.4756015457684,1.31763479967622,0.0688939346694771
76,0.0755252850319842,lai,3y,0.466932620873344,0.13009571845783,2.30330419423739,-27.6848147768243,13.2405988216597,1.35121135096083,0.075156665781746
77,0.05784264235073,lai,3y,0.469541478674661,0.0824529643480888,2.2559892864003,-61.5541321962119,17.2882835112629,1.25664924420447,0.0570853644262069
78,0.0962627685029863,lai,3y,0.461393680342931,0.0829559318084395,2.32321266966329,307.438799466031,10.3882322890909,1.47063794971515,0.0961904471163634
79,0.10575425278474,lai,3y,0.452594942758623,0.111936726808178,2.38234972503488,-30.7799091318679,9.45588450268257,1.52430916584114,0.105068200802939
80,0.099860146439788,lai,3y,0.45285289987953,0.0943092513784642,2.37458767838863,-37.6464068600636,10.0140049424318,1.49180880450411,0.0997323008113923
81,0.149137269921166,lai,3y,0.450926438322597,0.0481879356664026,2.37375899408553,82.4844724384695,6.70523203575205,1.79980702105018,0.145979427368342
82,0.175522306002864,lai,3y,0.446350114494323,0.0161276593034916,2.35547352090318,162.494416387755,5.69728157504769,1.98536473047875,0.1699218114301
83,0.187755365842089,lai,3y,0.447230818179186,0.0023211556513558,2.33809808792435,87.225386433316,5.3260794732282,2.12973560936555,0.186930676126642
84,0.166316672559873,lai,3y,0.431756102440386,0.0760602756323089,2.31700072051917,24.3188782785108,6.01262630263366,1.95490938509097,0.166162178232234
85,0.182751528992022,lai,3y,0.433324571929867,0.073298096217452,2.30196050143569,26.5394299761201,5.47191044318788,2.06000470665688,0.178877479204372
86,0.195668704292847,lai,3y,0.434671393682078,0.126782846298862,2.29114072081494,70.6956985073842,5.11067931693029,2.18603596410873,0.19322544111415
87,0.207356427256189,lai,3y,0.43909640262244,0.155928408068833,2.238808924963,-200.824374197192,4.82261395623151,2.27879009437852,0.203218106648453
88,0.204492820690213,lai,3y,0.436204950782959,0.172704598454784,2.28920334277687,-69.3275638250313,4.89014722680609,2.28670390726432,0.204049910115665
89,0.212135810498913,lai,3y,0.439524403386723,0.126743656742341,2.22722161519245,176.400026394794,4.71396129511629,2.33158870832869,0.208708440267348
90,0.208344565989993,lai,3y,0.439470230538031,0.157471540914175,2.23433731839416,-202.007331147784,4.79974121354349,2.32446658960264,0.207975877526017
91,0.225263111339431,lai,3y,0.439976260043078,0.157749329458066,2.22851928221549,-160.495985221125,4.43925325391239,2.46918013978339,0.222394297338717
92,0.194756026224476,lai,3y,0.444506440755158,0.160772008167928,2.18766873217627,350.009322083211,5.13462930716916,2.14790736728222,0.188982100266161
93,0.22505393101157,lai,3y,0.44747175324888,0.158864637937407,2.15498147646318,108.004191802665,4.44337939579732,2.44430255931859,0.219983315746946
94,0.2190456997219,lai,3y,0.447243328114743,0.110473354684732,2.14844088506624,35.8624402409511,4.56525739272488,2.42284079953996,0.217881409884376
95,0.247997645393776,lai,3y,0.441824576320805,0.11344422473993,2.1951191226057,24.3877622379077,4.03229634866968,2.73966022954779,0.246983448874261
96,0.250462172183275,lai,3y,0.436312590834777,0.160105172282605,2.26734003009222,72.4321039008017,3.99261889044168,2.77049801571517,0.249613203756842
97,0.25229221573901,lai,3y,0.435937638859053,0.182336297493834,2.2800429412567,157.613162740608,3.96365776514672,2.80147152231826,0.252221635964211
98,0.252225546449317,lai,3y,0.436801559398321,0.194315118275033,2.26734059631808,834.05739626848,3.96470545540455,2.78788771781321,0.251081688106836
99,0.268932755920269,lai,3y,0.440628191352551,0.199857251142968,2.2244803949392,-103.307526912521,3.71840163753229,2.94176477940224,0.263642963560107
100,0.200448340190481,lai,3y,0.455907390819597,0.312532926464554,2.40164635248576,113.629118696794,4.98881656515451,2.09769155301709,0.183266186994225
101,0.17861771417778,lai,3y,0.44992740507227,0.358343343772673,2.51253609766658,-70.3367452990061,5.59854885951956,2.05684412846635,0.178505456251729
102,0.177706093078943,lai,3y,0.45083793437518,0.337956296695967,2.48399139518183,-134.550552377926,5.62726906362048,2.044001292684,0.176987336355657
103,0.16103563182335,lai,3y,0.449536874300022,0.286647232428274,2.47641443574272,64.3131501017304,6.2098057968746,1.9063236690212,0.160031252321615
104,0.193540457887057,lai,3y,0.439679081169413,0.309504923005504,2.53524504193981,24.5803937476442,5.16687834118673,2.18876378749548,0.193525909649056
105,0.20405720703441,lai,3y,0.440273894529335,0.366161630565237,2.57086520816022,110.912120706816,4.90058652930289,2.25187171810743,0.200364800008519
106,0.142713084247926,lai,3y,0.468281808166724,0.50659362776214,2.8835291337748,17.9593268025464,7.00706599727582,1.65989071400768,0.12610377700023
107,0.16441802336218,lai,3y,0.469971466585537,0.450470829976121,2.79457206979474,10.8226657320836,6.08205827774246,1.9065538633528,0.160060696384472
108,0.149144585049275,lai,3y,0.468069822900272,0.459361897996554,2.81209231713311,10.3846724482357,6.70490316272373,1.80602567269616,0.146824087373829
109,0.195984703981326,lai,3y,0.504353675080854,0.0737168567013489,3.4649683975177,25.1575241650588,5.10243901531868,1.97754396842266,0.16896235039064
110,0.218861754758775,lai,3y,0.509857548067841,0.108147406856119,3.35952765867595,56.451510176713,4.56909431756215,2.38427483243048,0.214052029389623
111,0.233580620801198,lai,3y,0.500809460117439,0.136970948749883,3.47785800494969,-45.6639547444382,4.28117707954508,2.55848152584146,0.230831709941436
112,0.210513212430926,lai,3y,0.506190758481477,0.118723790506111,3.35930422675399,-126.701039248078,4.75029566292958,2.30396355650404,0.205853091407739
113,0.189318505419062,lai,3y,0.503086972554358,0.163091273714776,3.44094049677328,-38.1209985338448,5.28210381645719,2.14893857546102,0.189097944797258
114,0.192029332177443,lai,3y,0.514685646642556,0.150337795974113,3.38622058397271,-14.5163918868733,5.2075377686361,2.07864710671209,0.181059258435386
115,0.216125618372685,lai,3y,0.516496712715105,0.198847264613706,3.36089089253714,-11.1934814021872,4.62693875686504,2.38116941105078,0.213740701752299
116,0.161811530163729,lai,3y,0.54015872379928,0.299182422584895,3.43254467838886,-30.7631787331379,6.18002931551386,1.79888311470806,0.145853669123987
117,0.213997009152967,lai,3y,0.542160303422891,0.244792537273344,3.36556942890455,234.786785423144,4.67296250521515,2.32834505612426,0.208375113096392
118,0.212751968920555,lai,3y,0.540367351677032,0.27319105066645,3.4179752917122,-173.599466433411,4.70030902686224,2.37133363973147,0.21275166621463
119,0.208360126466462,lai,3y,0.540095748837046,0.268632750870865,3.4227401245598,-251.402488009243,4.7993827655934,2.32676624468798,0.208212684437658
120,0.194581121526686,lai,3y,0.536447380659278,0.241150487046234,3.48819948660226,89.2634120440754,5.13924471271409,2.1982530479589,0.194567959957063
121,0.196379408796963,lai,3y,0.539879947333725,0.226572892402072,3.44775113574288,159.914621621632,5.09218357528462,2.15941929455506,0.190271897034831
122,0.225732786014261,lai,3y,0.550613432190619,0.220651838497081,3.30855905090584,-57.6031740961018,4.4300166478113,2.41536362688792,0.217144266390316
123,0.239609449864504,lai,3y,0.552015390221593,0.268118030792932,3.2989917276991,-27.1179922128057,4.17345810261443,2.63067903318331,0.237416742630098
124,0.223472287786748,lai,3y,0.557640872881909,0.220799231672452,3.17751701344535,-68.1662379549318,4.47482777351914,2.43212844460909,0.218793538892454
125,0.204731042764219,lai,3y,0.560229161453936,0.246453920808471,3.13618950068133,-37.6318139881838,4.88445712237035,2.27548714086684,0.202869999661948
126,0.215087922787826,lai,3y,0.564917547193613,0.266414758500139,3.06695147822053,-24.4379849010535,4.6492615068232,2.35962819345409,0.211568700300646
127,0.2118517806525,lai,3y,0.564848755726589,0.245920494994719,3.0612470115751,-29.4295858508009,4.72028130667591,2.36097441426887,0.21170508050944
128,0.219530521418322,lai,3y,0.573442197027609,0.261189552382274,2.98054751604511,-45.1581995597527,4.55517526009275,2.34769436764183,0.210355962031119
129,0.238233491394086,lai,3y,0.578580286476666,0.226639010290315,2.8821232532358,-160.240983307619,4.19756262710266,2.59381620616534,0.234080087712233
130,0.229625009347128,lai,3y,0.567719467737732,0.218267851135846,2.97386332506107,44.9575321469142,4.35492633334326,2.54233835492444,0.229330961123956
131,0.245080672736247,lai,3y,0.565598609499904,0.207005501621548,3.00750186254305,34.4419001705087,4.08028910984829,2.71307175433762,0.24468925431089
132,0.219758182018582,lai,3y,0.561861539700489,0.265307053627287,3.08519831697017,-292.044174903178,4.55045628251258,2.41537871827162,0.217145756731468
133,0.232218445607035,lai,3y,0.548163704261302,0.273744268485181,3.26090203107132,-33.3713277239703,4.30629012861546,2.57338182685738,0.232207581981688
134,0.232991928917522,lai,3y,0.548489002734801,0.251997509867307,3.24567772079927,-44.026698675998,4.29199416754902,2.57796373256825,0.232628883967548
135,0.239912718426765,lai,3y,0.552457132071712,0.224493646640262,3.15647444974772,-97.0250547060412,4.16818252303392,2.61972545130422,0.236430754118137
136,0.253853483088397,lai,3y,0.548230332807305,0.19004964457376,3.22122372579761,120.351623124071,3.93928020145297,2.81887157554852,0.253672792682059
137,0.240694642211516,lai,3y,0.548357000414371,0.240011130324031,3.23552106191108,-89.6177666746136,4.15464171039265,2.64962916880114,0.239111755623247
138,0.24958374733148,lai,3y,0.542621440390954,0.291924439805431,3.36310023924191,-27.6892690679484,4.00667115023267,2.76275217103562,0.248955763505349
139,0.24135233606401,lai,3y,0.547751973823087,0.254290555477286,3.24422736035792,-52.9023526790879,4.14332016133784,2.62511917472285,0.236916845433076
140,0.230790596341496,lai,3y,0.544818388773346,0.249990832085893,3.29358154159056,-83.2494477669912,4.33293217250638,2.54775460258981,0.22983566245065
141,0.214672039931449,lai,3y,0.557182490959951,0.231767915552346,3.1175506352112,68.2932293580467,4.65826849327619,2.29937912216941,0.205375592840462
142,0.247554466601071,lai,3y,0.567247562813934,0.194822524461557,3.00078972473386,19.37580881715,4.03951507613669,2.62290830881207,0.236717733576179
143,0.249422843235312,lai,3y,0.568039957001369,0.152642997353076,2.9750161344408,14.9816748620042,4.00925587660219,2.75251232585125,0.2480834568415
144,0.248348429003921,lai,3y,0.569102822120113,0.156464729572533,2.95794336094131,15.6657673588923,4.02660086883099,2.7311301020839,0.246250155046291
145,0.264157346846472,lai,3y,0.573157446044547,0.205975715029355,2.92310476717875,28.2747535280728,3.7856225160423,2.87896117269412,0.258607758311727
146,0.287134535963497,lai,3y,0.585066038404598,0.189050333491762,2.82239550497916,75.6126261034697,3.48268799029848,3.0965112902309,0.275547586085402
147,0.303279729007039,lai,3y,0.588191267936058,0.19365501048635,2.78201995352791,156.448678483817,3.2972859850346,3.42575493283679,0.298766029520728
148,0.317436992493573,lai,3y,0.597126994663177,0.212891409211132,2.70103640168636,-56.4078329138226,3.15023145898866,3.56715666880835,0.307964753389493
149,0.30153041577081,lai,3y,0.593513839212435,0.257655764237538,2.77247987317245,-28.1900109575797,3.31641502050025,3.46328846088291,0.301249714067531
150,0.295294223277504,lai,3y,0.592759903701192,0.257835751332968,2.78150083864935,-27.2810194324193,3.38645297188982,3.30121252322734,0.290295559670258
151,0.276292368635479,lai,3y,0.595900344718,0.301884791442863,2.75879890141753,-17.4340351810259,3.61935439961185,3.05718631671913,0.272587315580209
