timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
1,NA,photo,3y,,,,,,,
2,NA,photo,3y,,,,,,,
3,NA,photo,3y,,,,,,,
4,NA,photo,3y,,,,,,,
5,NA,photo,3y,,,,,,,
6,NA,photo,3y,,,,,,,
7,NA,photo,3y,,,,,,,
8,NA,photo,3y,,,,,,,
9,NA,photo,3y,,,,,,,
10,NA,photo,3y,,,,,,,
11,NA,photo,3y,,,,,,,
12,NA,photo,3y,,,,,,,
13,NA,photo,3y,,,,,,,
14,NA,photo,3y,,,,,,,
15,NA,photo,3y,,,,,,,
16,NA,photo,3y,,,,,,,
17,NA,photo,3y,,,,,,,
18,NA,photo,3y,,,,,,,
19,NA,photo,3y,,,,,,,
20,NA,photo,3y,,,,,,,
21,NA,photo,3y,,,,,,,
22,NA,photo,3y,,,,,,,
23,NA,photo,3y,,,,,,,
24,NA,photo,3y,,,,,,,
25,NA,photo,3y,,,,,,,
26,NA,photo,3y,,,,,,,
27,NA,photo,3y,,,,,,,
28,NA,photo,3y,,,,,,,
29,NA,photo,3y,,,,,,,
30,NA,photo,3y,,,,,,,
31,NA,photo,3y,,,,,,,
32,NA,photo,3y,,,,,,,
33,NA,photo,3y,,,,,,,
34,NA,photo,3y,,,,,,,
35,NA,photo,3y,,,,,,,
36,NA,photo,3y,,,,,,,
37,NA,photo,3y,,,,,,,
38,NA,photo,3y,,,,,,,
39,NA,photo,3y,,,,,,,
40,NA,photo,3y,,,,,,,
41,NA,photo,3y,,,,,,,
42,NA,photo,3y,,,,,,,
43,NA,photo,3y,,,,,,,
44,NA,photo,3y,,,,,,,
45,NA,photo,3y,,,,,,,
46,NA,photo,3y,,,,,,,
47,NA,photo,3y,,,,,,,
48,NA,photo,3y,,,,,,,
49,NA,photo,3y,,,,,,,
50,NA,photo,3y,,,,,,,
51,NA,photo,3y,,,,,,,
52,NA,photo,3y,,,,,,,
53,NA,photo,3y,,,,,,,
54,NA,photo,3y,,,,,,,
55,NA,photo,3y,,,,,,,
56,NA,photo,3y,,,,,,,
57,NA,photo,3y,,,,,,,
