timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
1,NA,ar,5y,,,,,,,
2,NA,ar,5y,,,,,,,
3,NA,ar,5y,,,,,,,
4,NA,ar,5y,,,,,,,
5,NA,ar,5y,,,,,,,
6,NA,ar,5y,,,,,,,
7,NA,ar,5y,,,,,,,
8,NA,ar,5y,,,,,,,
9,NA,ar,5y,,,,,,,
10,NA,ar,5y,,,,,,,
11,NA,ar,5y,,,,,,,
12,NA,ar,5y,,,,,,,
13,NA,ar,5y,,,,,,,
14,NA,ar,5y,,,,,,,
15,NA,ar,5y,,,,,,,
16,NA,ar,5y,,,,,,,
17,NA,ar,5y,,,,,,,
18,NA,ar,5y,,,,,,,
19,NA,ar,5y,,,,,,,
20,NA,ar,5y,,,,,,,
21,NA,ar,5y,,,,,,,
22,NA,ar,5y,,,,,,,
23,NA,ar,5y,,,,,,,
24,NA,ar,5y,,,,,,,
25,NA,ar,5y,,,,,,,
26,NA,ar,5y,,,,,,,
27,NA,ar,5y,,,,,,,
28,NA,ar,5y,,,,,,,
29,NA,ar,5y,,,,,,,
30,NA,ar,5y,,,,,,,
31,NA,ar,5y,,,,,,,
32,NA,ar,5y,,,,,,,
33,NA,ar,5y,,,,,,,
34,NA,ar,5y,,,,,,,
35,NA,ar,5y,,,,,,,
36,NA,ar,5y,,,,,,,
37,NA,ar,5y,,,,,,,
38,NA,ar,5y,,,,,,,
39,NA,ar,5y,,,,,,,
40,NA,ar,5y,,,,,,,
41,NA,ar,5y,,,,,,,
42,NA,ar,5y,,,,,,,
43,NA,ar,5y,,,,,,,
44,NA,ar,5y,,,,,,,
45,NA,ar,5y,,,,,,,
46,NA,ar,5y,,,,,,,
47,NA,ar,5y,,,,,,,
48,NA,ar,5y,,,,,,,
49,NA,ar,5y,,,,,,,
50,NA,ar,5y,,,,,,,
51,NA,ar,5y,,,,,,,
52,NA,ar,5y,,,,,,,
53,NA,ar,5y,,,,,,,
54,NA,ar,5y,,,,,,,
55,NA,ar,5y,,,,,,,
56,NA,ar,5y,,,,,,,
57,NA,ar,5y,,,,,,,
58,NA,ar,5y,,,,,,,
59,NA,ar,5y,,,,,,,
60,NA,ar,5y,,,,,,,
61,NA,ar,5y,,,,,,,
62,NA,ar,5y,,,,,,,
63,NA,ar,5y,,,,,,,
64,NA,ar,5y,,,,,,,
65,NA,ar,5y,,,,,,,
66,NA,ar,5y,,,,,,,
67,NA,ar,5y,,,,,,,
68,-0.171194011212427,ar,5y,0.0747977912164004,0.114650802718779,2.66478524136306,80.2396600226641,-5.84132583212354,0.501524063287463,-0.170900817233953
69,-0.172486176547398,ar,5y,0.0748612592030879,0.0909488059415926,2.65272641089501,48.7891299750919,-5.79756604277914,0.49899581152234,-0.172127458336424
70,-0.172646739768871,ar,5y,0.0740929217108334,0.0949910397545242,2.71338419566294,32.2366794330967,-5.7921742474763,0.500171868990217,-0.171556161395037
71,-0.174228545518369,ar,5y,0.0746327522849949,0.0798659152545344,2.65055313746695,24.551808791811,-5.73958760331021,0.500546107787988,-0.17137462375562
72,-0.144398805326662,ar,5y,0.073494448785434,0.0564347454159092,2.74359380494134,15.2897969412736,-6.92526505145093,0.559240045132813,-0.144339594939513
73,-0.146994888138813,ar,5y,0.0733081891877098,0.106395720104879,2.76673854758835,36.4361420635137,-6.80295765833478,0.560530293393985,-0.143775255233938
74,-0.153675165386644,ar,5y,0.0736220922150029,0.067978869713825,2.72045013716748,23.738170690526,-6.50723230057385,0.541368022586938,-0.152283215761953
75,-0.181987966453911,ar,5y,0.0730644931466912,0.121708803455478,2.77494151805074,115.210463237446,-5.49486880635734,0.483543784457061,-0.179750007212155
76,-0.182136833713103,ar,5y,0.0728136532761428,0.144333861072676,2.81465956468772,16273.8107353491,-5.49037764417917,0.478853317126861,-0.182107743536782
77,-0.181480118675775,ar,5y,0.0731564970128049,0.113753045358708,2.7620408414936,83.0749349186247,-5.51024545992589,0.483429259873135,-0.179807326576946
78,-0.163015586578106,ar,5y,0.0731189345825317,0.115160036202886,2.76308013012517,80.7170609897045,-6.13438273597761,0.529113095029564,-0.157871457997479
79,-0.130613687205858,ar,5y,0.0714743791147559,0.134656561822823,2.87349701546235,-46.2518169217469,-7.65616545549253,0.592500739783837,-0.130164124555836
80,-0.137261096625786,ar,5y,0.0725398064884057,0.107319551167639,2.8131503625691,-30.3440608738724,-7.2853854776222,0.588418575820709,-0.131863399184535
81,-0.120938072825544,ar,5y,0.0731614982752435,0.0867360144717112,2.78634111092654,74.6429328190862,-8.26869468510984,0.628666846524489,-0.115570786552082
82,-0.0698351736150326,ar,5y,0.0712048097750688,0.072208957740195,2.44839455255117,448.628930612028,-14.3194317166377,0.768714525416384,-0.0656959340232786
83,-0.0679869941056614,ar,5y,0.0712011043563484,0.0785295220596333,2.44953859508876,231.403642331726,-14.708695584421,0.761680092466528,-0.0679848854702164
84,-0.0410526566411022,ar,5y,0.0680250597159447,0.110460644730815,2.149480794166,32.8226587180015,-24.3589594881125,0.850418950066997,-0.0405049300095729
85,-0.0436201217406565,ar,5y,0.0676730835568433,0.131262562094746,2.19071546900644,47.1794688915378,-22.925199657752,0.839988998610544,-0.0435859836801477
86,-0.0460407724958199,ar,5y,0.0679208258095251,0.154323349354467,2.16817852845806,88.6608578078476,-21.7198788332839,0.832873064299265,-0.0457096062555053
87,-0.023386308088981,ar,5y,0.0699363638170363,0.109371571909622,2.16312904531179,-61.2893138151957,-42.7600626911766,0.915523400970046,-0.0220728650482589
88,-0.0218551821607009,ar,5y,0.0694356433851422,0.136886718933605,2.218182973308,-33.922565386745,-45.7557385084696,0.916335271719855,-0.0218512628345266
