timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
1,NA,cheart,5y,,,,,,,
2,NA,cheart,5y,,,,,,,
3,NA,cheart,5y,,,,,,,
4,NA,cheart,5y,,,,,,,
5,NA,cheart,5y,,,,,,,
6,NA,cheart,5y,,,,,,,
7,NA,cheart,5y,,,,,,,
8,NA,cheart,5y,,,,,,,
9,NA,cheart,5y,,,,,,,
10,NA,cheart,5y,,,,,,,
11,NA,cheart,5y,,,,,,,
12,NA,cheart,5y,,,,,,,
13,NA,cheart,5y,,,,,,,
14,NA,cheart,5y,,,,,,,
15,NA,cheart,5y,,,,,,,
16,NA,cheart,5y,,,,,,,
17,NA,cheart,5y,,,,,,,
18,NA,cheart,5y,,,,,,,
19,NA,cheart,5y,,,,,,,
20,NA,cheart,5y,,,,,,,
21,NA,cheart,5y,,,,,,,
22,NA,cheart,5y,,,,,,,
23,NA,cheart,5y,,,,,,,
24,NA,cheart,5y,,,,,,,
25,NA,cheart,5y,,,,,,,
26,NA,cheart,5y,,,,,,,
27,NA,cheart,5y,,,,,,,
28,NA,cheart,5y,,,,,,,
29,NA,cheart,5y,,,,,,,
30,NA,cheart,5y,,,,,,,
31,NA,cheart,5y,,,,,,,
32,NA,cheart,5y,,,,,,,
33,NA,cheart,5y,,,,,,,
34,NA,cheart,5y,,,,,,,
35,NA,cheart,5y,,,,,,,
36,NA,cheart,5y,,,,,,,
37,NA,cheart,5y,,,,,,,
38,NA,cheart,5y,,,,,,,
39,NA,cheart,5y,,,,,,,
40,NA,cheart,5y,,,,,,,
41,NA,cheart,5y,,,,,,,
42,NA,cheart,5y,,,,,,,
43,NA,cheart,5y,,,,,,,
44,NA,cheart,5y,,,,,,,
45,NA,cheart,5y,,,,,,,
46,NA,cheart,5y,,,,,,,
47,NA,cheart,5y,,,,,,,
48,NA,cheart,5y,,,,,,,
49,NA,cheart,5y,,,,,,,
50,NA,cheart,5y,,,,,,,
51,NA,cheart,5y,,,,,,,
52,NA,cheart,5y,,,,,,,
53,NA,cheart,5y,,,,,,,
54,NA,cheart,5y,,,,,,,
55,NA,cheart,5y,,,,,,,
56,NA,cheart,5y,,,,,,,
57,NA,cheart,5y,,,,,,,
58,NA,cheart,5y,,,,,,,
59,NA,cheart,5y,,,,,,,
60,NA,cheart,5y,,,,,,,
61,NA,cheart,5y,,,,,,,
62,NA,cheart,5y,,,,,,,
63,NA,cheart,5y,,,,,,,
64,NA,cheart,5y,,,,,,,
65,NA,cheart,5y,,,,,,,
66,NA,cheart,5y,,,,,,,
67,NA,cheart,5y,,,,,,,
68,0.539453275242916,cheart,5y,1.72066086562192,0.182273975939201,2.35625751366746,52.4108846359404,1.85372866547098,10.9858929023135,0.537426226701122
69,0.541531932195892,cheart,5y,1.71706507539375,0.169580383571139,2.37067414334007,73.038076483807,1.84661317375143,11.2216140586669,0.541213004280626
70,0.538180177642179,cheart,5y,1.71567770957609,0.179319848297469,2.38043596766984,58.8375421311945,1.85811377219633,11.0237247159817,0.538040869762711
71,0.522984755647852,cheart,5y,1.72112374997882,0.232719454062919,2.37960488681801,24.2068477794981,1.91210162284987,9.76505826676275,0.516027585903625
72,0.535268261069105,cheart,5y,1.69622231461253,0.281008614795846,2.46328155620867,12.9612723159702,1.86822210979346,10.5747936305069,0.530569870116029
