timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
1,NA,ctotal,5y,,,,,,,
2,NA,ctotal,5y,,,,,,,
3,NA,ctotal,5y,,,,,,,
4,NA,ctotal,5y,,,,,,,
5,NA,ctotal,5y,,,,,,,
6,NA,ctotal,5y,,,,,,,
7,NA,ctotal,5y,,,,,,,
8,NA,ctotal,5y,,,,,,,
9,NA,ctotal,5y,,,,,,,
10,NA,ctotal,5y,,,,,,,
11,NA,ctotal,5y,,,,,,,
12,NA,ctotal,5y,,,,,,,
13,NA,ctotal,5y,,,,,,,
14,NA,ctotal,5y,,,,,,,
15,NA,ctotal,5y,,,,,,,
16,NA,ctotal,5y,,,,,,,
17,NA,ctotal,5y,,,,,,,
18,NA,ctotal,5y,,,,,,,
19,NA,ctotal,5y,,,,,,,
20,NA,ctotal,5y,,,,,,,
21,NA,ctotal,5y,,,,,,,
22,NA,ctotal,5y,,,,,,,
23,NA,ctotal,5y,,,,,,,
24,NA,ctotal,5y,,,,,,,
25,NA,ctotal,5y,,,,,,,
26,NA,ctotal,5y,,,,,,,
27,NA,ctotal,5y,,,,,,,
28,NA,ctotal,5y,,,,,,,
29,NA,ctotal,5y,,,,,,,
30,NA,ctotal,5y,,,,,,,
31,NA,ctotal,5y,,,,,,,
32,NA,ctotal,5y,,,,,,,
33,NA,ctotal,5y,,,,,,,
34,NA,ctotal,5y,,,,,,,
35,NA,ctotal,5y,,,,,,,
36,NA,ctotal,5y,,,,,,,
37,NA,ctotal,5y,,,,,,,
38,NA,ctotal,5y,,,,,,,
39,NA,ctotal,5y,,,,,,,
40,NA,ctotal,5y,,,,,,,
41,NA,ctotal,5y,,,,,,,
42,NA,ctotal,5y,,,,,,,
43,NA,ctotal,5y,,,,,,,
44,NA,ctotal,5y,,,,,,,
45,NA,ctotal,5y,,,,,,,
46,NA,ctotal,5y,,,,,,,
47,NA,ctotal,5y,,,,,,,
48,NA,ctotal,5y,,,,,,,
49,NA,ctotal,5y,,,,,,,
50,NA,ctotal,5y,,,,,,,
51,NA,ctotal,5y,,,,,,,
52,NA,ctotal,5y,,,,,,,
53,NA,ctotal,5y,,,,,,,
54,NA,ctotal,5y,,,,,,,
55,NA,ctotal,5y,,,,,,,
56,NA,ctotal,5y,,,,,,,
57,NA,ctotal,5y,,,,,,,
58,NA,ctotal,5y,,,,,,,
59,NA,ctotal,5y,,,,,,,
60,NA,ctotal,5y,,,,,,,
61,NA,ctotal,5y,,,,,,,
62,NA,ctotal,5y,,,,,,,
63,NA,ctotal,5y,,,,,,,
64,NA,ctotal,5y,,,,,,,
65,NA,ctotal,5y,,,,,,,
66,NA,ctotal,5y,,,,,,,
67,NA,ctotal,5y,,,,,,,
68,0.704254370899985,ctotal,5y,1.9845564795983,0.224383277473666,2.4122426701588,-39.6442984971204,1.41994148892832,31.6685536874981,0.700398752836191
69,0.698262635226686,ctotal,5y,1.97666167430346,0.220185468334667,2.4367105731677,-32.65543620217,1.43212589296771,30.3655649392433,0.694914091231736
70,0.712445220322107,ctotal,5y,1.99970231412164,0.219056851005837,2.38164006109475,-58.0561426762123,1.40361668725616,30.2499635508879,0.694412319076517
71,0.71417104447988,ctotal,5y,2.00604984285324,0.272607095241488,2.38567377191515,128.541453139227,1.40022478890654,32.6503352420646,0.704335632837468
72,0.710752805870249,ctotal,5y,2.01639571100056,0.315803842323216,2.37222660821785,35.6196043841286,1.40695891981122,31.9623410128413,0.70159378074076
73,0.680211152775842,ctotal,5y,1.98882777337915,0.355791276105569,2.48260728105711,20.0870637551952,1.47013173177056,27.1983428145651,0.680162588358794
74,0.688086448935526,ctotal,5y,1.92507412604413,0.354569039385249,2.56467043406748,11.5697254778307,1.45330576055815,28.7300862589012,0.687567490634316
75,0.695624434786957,ctotal,5y,1.90908709380336,0.414807507555934,2.66202991629704,8.75719141288235,1.43755732258925,29.6791143845038,0.691896425603608
76,0.701060050010354,ctotal,5y,1.90549123685709,0.441912546595505,2.69645174828087,8.11369981978833,1.42641133236052,31.8117971467361,0.700983264921079
77,0.706147573198834,ctotal,5y,1.89921147687571,0.405376563473133,2.7009591629935,9.2623114853764,1.41613458426264,32.8415077989077,0.705083794659363
78,0.708472050575393,ctotal,5y,1.90737761349154,0.37251200943306,2.64227585483081,10.4016338367597,1.41148828551224,32.1891944930468,0.702506525084442
79,0.698720050505709,ctotal,5y,1.90450760954644,0.347223773090305,2.64367233394875,11.5203234470922,1.43118835544541,31.1972190102151,0.698450187765926
80,0.704747129829293,ctotal,5y,1.88634760650478,0.326305993437522,2.69736451720259,14.2501967338085,1.41894866637091,32.751143757017,0.704730880791321
81,0.708898599548995,ctotal,5y,1.89009233516496,0.280895088633454,2.65869167415542,18.633087603527,1.41063898368004,32.6120081735534,0.704184931444661
82,0.710307092069046,ctotal,5y,1.89179805894162,0.273678562174742,2.64686007094168,19.5500607497891,1.40784177881022,33.6626940128962,0.708232347304254
83,0.697793718757811,ctotal,5y,1.91468126762369,0.279771973528342,2.58028352068403,15.0820837289563,1.43308827969986,27.3618365504704,0.680979148089661
84,0.700289914036173,ctotal,5y,1.91331170666428,0.278498433145681,2.58522499884333,15.3219518275443,1.42798001221583,30.7006828557797,0.696354371849649
85,0.700917602836275,ctotal,5y,1.92002230004285,0.314175553290496,2.57139975575342,12.5062182559233,1.42670122130402,30.4638193221016,0.695338565329268
86,0.700365016697782,ctotal,5y,1.92152264256517,0.366990004613332,2.59505603897904,9.83008283723171,1.42782688477931,30.2064105382196,0.694222610618623
87,0.710077723591339,ctotal,5y,1.91240109741307,0.407353775361211,2.66063632850751,8.58608633177736,1.40829653821884,34.0949766821904,0.709848681232943
88,0.709286437855452,ctotal,5y,1.91568026741411,0.355046720936198,2.61525992190568,10.3721533826139,1.40986764532469,32.3959285728226,0.703330846296566
89,0.705250469459567,ctotal,5y,1.92258202490769,0.31259172886643,2.56242853263933,12.3363079555677,1.41793595793889,31.4543715807161,0.699518138051923
90,0.714394505523288,ctotal,5y,1.91139951027631,0.30230904289737,2.50126311690066,29.3448163856593,1.39978680164611,29.5715982023297,0.691415334667958
91,0.723566719944524,ctotal,5y,1.90758842507016,0.250692746571782,2.46874676077243,-517.282509356162,1.38204255728714,33.916367362741,0.709184202185755
92,0.733242943672308,ctotal,5y,1.93720307086722,0.204367079934494,2.37664474289695,-30.2311399082206,1.36380446430441,33.5563999874556,0.707830635191539
93,0.717310060423212,ctotal,5y,1.93352203264678,0.159075749420155,2.37888997500637,-19.6634606137111,1.39409727421082,35.4569305716237,0.714766349884387
94,0.717123768268046,ctotal,5y,1.93465590983791,0.160012867275373,2.37503182093613,-19.9964933560179,1.39445942841239,34.5059147112999,0.711359898981905
95,0.717888387176735,ctotal,5y,1.94313572253085,0.197927877521595,2.35193271751242,-29.6789850664369,1.39297419746924,34.388752117886,0.710931508467373
96,0.703066558788209,ctotal,5y,1.9350299497399,0.227419290609102,2.39626707863693,-43.7620542074369,1.42234044202526,32.329260136965,0.703065787581516
97,0.6905745666008,ctotal,5y,1.91477813455694,0.245755846704304,2.47523602380653,-98.706798138493,1.44806954725002,29.0684544834526,0.689132543831823
98,0.692644950806811,ctotal,5y,1.8819422256342,0.255012326828426,2.57691460680562,133.802899521048,1.44374112427323,29.513757774225,0.691155555366017
99,0.697198961802387,ctotal,5y,1.86730008716543,0.283795536128875,2.65531391224919,48.7512060117283,1.43431079905056,30.8344470441076,0.696923411672528
100,0.702587478208472,ctotal,5y,1.86523469248689,0.30027607536989,2.67314821555376,38.5280520281016,1.42331030799168,32.2083878247362,0.70258335394713
101,0.69076702042443,ctotal,5y,1.88317477225848,0.242788159221856,2.58428176654948,-228.603082996676,1.44766610222006,25.7903637718247,0.672849358351627
102,0.676859520442591,ctotal,5y,1.88813732837324,0.225844856822213,2.54040741471246,-19.2025901672441,1.47741144181013,21.8587190558315,0.649268954139937
103,0.696260772978334,ctotal,5y,1.82742183893237,0.304817717264018,2.39538907264606,-9.71661199344125,1.43624348636271,28.50926665201,0.68653281948621
104,0.694748100463548,ctotal,5y,1.81833850641094,0.26134205796532,2.40942075131097,-8.08314863132076,1.43937061408701,29.8767670076691,0.692774798281306
105,0.680915712293175,ctotal,5y,1.81504600441614,0.23416545522469,2.41565263055722,-7.45630023346131,1.4686105518585,27.2935078130886,0.680638675796952
106,0.683918031910291,ctotal,5y,1.76819804115283,0.321608413231171,2.38955584787149,-6.41456634026916,1.46216352448969,26.5203592849338,0.67670546045312
107,0.701570655234034,ctotal,5y,1.76624514560088,0.323985916660142,2.39240825401574,-6.37064768168776,1.42537318592154,28.6185859783986,0.687046375668969
108,0.726176728278984,ctotal,5y,1.80639057376149,0.286272331725048,2.35139627346665,-7.55776267224177,1.37707525049717,30.0776366220597,0.693659552027794
109,0.709787446162507,ctotal,5y,1.81462339330185,0.293928740821282,2.41439246722364,-11.9708775484673,1.40887248063704,26.9550644693461,0.678935388383752
110,0.753562099616239,ctotal,5y,1.81188746467634,0.13276426451798,2.45490389097004,-62.8389945193901,1.32703064619261,30.7923438028508,0.696744658808299
111,0.705980990075103,ctotal,5y,1.7934161601235,0.181773204567429,2.53654150133963,114.373092783551,1.41646873507687,32.5948628315813,0.704117439378692
112,0.719966354154605,ctotal,5y,1.780872853089,0.239459710469354,2.60524640665444,27.3994903777769,1.38895379517313,35.5385283309713,0.715052897983024
113,0.728648298581566,ctotal,5y,1.80517257288576,0.260694487400092,2.54118414329107,16.9859218560305,1.37240422017956,33.882521032763,0.709057754382566
114,0.707201009628607,ctotal,5y,1.80553751825165,0.257358660778166,2.53802227825573,17.3096439676717,1.41402513059923,33.2578824368734,0.706693270888599
115,0.697954169402675,ctotal,5y,1.79659282615247,0.205295489507334,2.54611693044561,32.0588508575933,1.43275883122214,29.8371010710884,0.692599145429947
116,0.710548861977782,ctotal,5y,1.78085246792941,0.162082143099896,2.55583271980776,-245.137589920955,1.40736274943365,31.8362236908892,0.701082587003094
117,0.708035745168011,ctotal,5y,1.77542304468789,0.145607436690231,2.57979320788289,-87.5033400052137,1.41235807206698,33.5340705518422,0.707746029530273
118,0.714483613786993,ctotal,5y,1.78720004855056,0.190986248586587,2.545206557324,90.5209369862409,1.39961222441433,32.3039691834862,0.702965044757399
119,0.733000929736262,ctotal,5y,1.84668835318374,0.117862112478688,2.52928393604428,26.5658478442314,1.3642547497993,28.5030708238936,0.686503634383331
120,0.791229308174681,ctotal,5y,1.95970304916683,0.165842401765748,3.02071530066601,15.4286277500906,1.26385611562714,30.2447986570157,0.694389840881497
121,0.743122684272316,ctotal,5y,1.97876264814835,0.129712948686766,2.92076273019856,12.189018522068,1.34567282248856,39.8470338745316,0.729032840171498
122,0.725817751375519,ctotal,5y,1.97732491980724,0.123877198696487,2.92779688171566,11.8541012305035,1.3777563280932,38.5938890892749,0.725184879173406
123,0.725930424906045,ctotal,5y,1.97699922262932,0.116394265582815,2.92850232946269,11.5094025505818,1.37754248298579,38.8311573791422,0.725926277917272
124,0.721421487184051,ctotal,5y,1.98514788506331,0.153895955205398,2.89481185782576,14.070406529611,1.3861522255226,35.491629487974,0.714888310852332
125,0.713512006012119,ctotal,5y,1.9657567257109,0.20294590786871,2.99493611249382,20.8546891905467,1.40151811262306,34.6568388355543,0.711908863598163
126,0.727919935911912,ctotal,5y,1.969235974548,0.253322718678066,3.01916818182808,92.3476790856778,1.37377745912019,34.1099926161125,0.70990433190386
127,0.735856448072842,ctotal,5y,1.98348730041897,0.293370457041043,2.97515959260194,-94.0691127279637,1.35896070846282,38.1670856025961,0.723835635094838
128,0.742222120837559,ctotal,5y,1.98655764797052,0.295497861802469,2.96241868676635,-77.9195945926705,1.34730557325825,42.1967634120397,0.735825422951731
129,0.737124071180224,ctotal,5y,1.9855931659973,0.309527569271501,2.97370350582752,-57.3865597598114,1.35662372061582,42.657472727309,0.737097408501756
130,0.736623812644713,ctotal,5y,1.99180354079649,0.282470979024082,2.92830646021168,-124.935836211299,1.35754503565352,40.8865274729842,0.732102836864108
131,0.722355498177657,ctotal,5y,1.97749106547199,0.237292307868998,2.96380797129023,59.0410329667569,1.38435992045852,36.7124863978556,0.71907997652472
132,0.694817757274275,ctotal,5y,1.93403160676519,0.262898218169505,3.07192433394831,24.6690547589885,1.43922631442658,30.26028708224,0.6944572328729
133,0.675045439517518,ctotal,5y,1.86746070508103,0.361802203744473,3.13139660425025,13.943544475352,1.48138175811504,26.1217514263161,0.674617596835083
134,0.685841776181515,ctotal,5y,1.80626141774749,0.48275152045653,3.17244757994222,10.1043948672697,1.45806224515454,27.750871054253,0.682896322252955
135,0.690047109439383,ctotal,5y,1.79582977651225,0.492214171573455,3.21024791608192,9.50757666193396,1.44917642045111,27.7646714063221,0.682963673051475
136,0.704610725836323,ctotal,5y,1.79437533994493,0.492149880323353,3.21665691103601,9.40692870797948,1.41922335742629,31.3185279036524,0.698955443481568
137,0.701721940044155,ctotal,5y,1.80330972951425,0.533989095606284,3.20847651472219,11.8280593014998,1.42506588854422,29.8045709282601,0.692454859147611
138,0.712021652056614,ctotal,5y,1.81027526888853,0.564002012274171,3.28559050820024,23.978603257666,1.40445167237764,28.7554118410553,0.687685478255593
