timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
1,NA,cwood,5y,,,,,,,
2,NA,cwood,5y,,,,,,,
3,NA,cwood,5y,,,,,,,
4,NA,cwood,5y,,,,,,,
5,NA,cwood,5y,,,,,,,
6,NA,cwood,5y,,,,,,,
7,NA,cwood,5y,,,,,,,
8,NA,cwood,5y,,,,,,,
9,NA,cwood,5y,,,,,,,
10,NA,cwood,5y,,,,,,,
11,NA,cwood,5y,,,,,,,
12,NA,cwood,5y,,,,,,,
13,NA,cwood,5y,,,,,,,
14,NA,cwood,5y,,,,,,,
15,NA,cwood,5y,,,,,,,
16,NA,cwood,5y,,,,,,,
17,NA,cwood,5y,,,,,,,
18,NA,cwood,5y,,,,,,,
19,NA,cwood,5y,,,,,,,
20,NA,cwood,5y,,,,,,,
21,NA,cwood,5y,,,,,,,
22,NA,cwood,5y,,,,,,,
23,NA,cwood,5y,,,,,,,
24,NA,cwood,5y,,,,,,,
25,NA,cwood,5y,,,,,,,
26,NA,cwood,5y,,,,,,,
27,NA,cwood,5y,,,,,,,
28,NA,cwood,5y,,,,,,,
29,NA,cwood,5y,,,,,,,
30,NA,cwood,5y,,,,,,,
31,NA,cwood,5y,,,,,,,
32,NA,cwood,5y,,,,,,,
33,NA,cwood,5y,,,,,,,
34,NA,cwood,5y,,,,,,,
35,NA,cwood,5y,,,,,,,
36,NA,cwood,5y,,,,,,,
37,NA,cwood,5y,,,,,,,
38,NA,cwood,5y,,,,,,,
39,NA,cwood,5y,,,,,,,
40,NA,cwood,5y,,,,,,,
41,NA,cwood,5y,,,,,,,
42,NA,cwood,5y,,,,,,,
43,NA,cwood,5y,,,,,,,
44,NA,cwood,5y,,,,,,,
45,NA,cwood,5y,,,,,,,
46,NA,cwood,5y,,,,,,,
47,NA,cwood,5y,,,,,,,
48,NA,cwood,5y,,,,,,,
49,NA,cwood,5y,,,,,,,
50,NA,cwood,5y,,,,,,,
51,NA,cwood,5y,,,,,,,
52,NA,cwood,5y,,,,,,,
53,NA,cwood,5y,,,,,,,
54,NA,cwood,5y,,,,,,,
55,NA,cwood,5y,,,,,,,
56,NA,cwood,5y,,,,,,,
57,NA,cwood,5y,,,,,,,
58,NA,cwood,5y,,,,,,,
59,NA,cwood,5y,,,,,,,
60,NA,cwood,5y,,,,,,,
61,NA,cwood,5y,,,,,,,
62,NA,cwood,5y,,,,,,,
63,NA,cwood,5y,,,,,,,
64,NA,cwood,5y,,,,,,,
