timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
1,NA,npp,5y,,,,,,,
2,NA,npp,5y,,,,,,,
3,NA,npp,5y,,,,,,,
4,NA,npp,5y,,,,,,,
5,NA,npp,5y,,,,,,,
6,NA,npp,5y,,,,,,,
7,NA,npp,5y,,,,,,,
8,NA,npp,5y,,,,,,,
9,NA,npp,5y,,,,,,,
10,NA,npp,5y,,,,,,,
11,NA,npp,5y,,,,,,,
12,NA,npp,5y,,,,,,,
13,NA,npp,5y,,,,,,,
14,NA,npp,5y,,,,,,,
15,NA,npp,5y,,,,,,,
16,NA,npp,5y,,,,,,,
17,NA,npp,5y,,,,,,,
18,NA,npp,5y,,,,,,,
19,NA,npp,5y,,,,,,,
20,NA,npp,5y,,,,,,,
21,NA,npp,5y,,,,,,,
22,NA,npp,5y,,,,,,,
23,NA,npp,5y,,,,,,,
24,NA,npp,5y,,,,,,,
25,NA,npp,5y,,,,,,,
26,NA,npp,5y,,,,,,,
27,NA,npp,5y,,,,,,,
28,NA,npp,5y,,,,,,,
29,NA,npp,5y,,,,,,,
30,NA,npp,5y,,,,,,,
31,NA,npp,5y,,,,,,,
32,NA,npp,5y,,,,,,,
33,NA,npp,5y,,,,,,,
34,NA,npp,5y,,,,,,,
35,NA,npp,5y,,,,,,,
36,NA,npp,5y,,,,,,,
37,NA,npp,5y,,,,,,,
38,NA,npp,5y,,,,,,,
39,NA,npp,5y,,,,,,,
40,NA,npp,5y,,,,,,,
41,NA,npp,5y,,,,,,,
42,NA,npp,5y,,,,,,,
43,NA,npp,5y,,,,,,,
44,NA,npp,5y,,,,,,,
45,NA,npp,5y,,,,,,,
46,NA,npp,5y,,,,,,,
47,NA,npp,5y,,,,,,,
48,NA,npp,5y,,,,,,,
49,NA,npp,5y,,,,,,,
50,NA,npp,5y,,,,,,,
51,NA,npp,5y,,,,,,,
52,NA,npp,5y,,,,,,,
53,NA,npp,5y,,,,,,,
54,NA,npp,5y,,,,,,,
55,NA,npp,5y,,,,,,,
56,NA,npp,5y,,,,,,,
57,NA,npp,5y,,,,,,,
58,NA,npp,5y,,,,,,,
59,NA,npp,5y,,,,,,,
60,NA,npp,5y,,,,,,,
61,NA,npp,5y,,,,,,,
62,NA,npp,5y,,,,,,,
63,NA,npp,5y,,,,,,,
64,NA,npp,5y,,,,,,,
65,NA,npp,5y,,,,,,,
66,NA,npp,5y,,,,,,,
67,NA,npp,5y,,,,,,,
68,0.244437454979878,npp,5y,0.109149987741746,0.173252761433486,2.38747694071941,-22.8756258902348,4.091026066698,2.70959254181005,0.244387184984842
69,0.245566114330199,npp,5y,0.11031327712625,0.166574824821818,2.32483323216822,-30.9531358192726,4.07222308634714,2.6513828657556,0.239267931148994
70,0.269524346074189,npp,5y,0.111653918840719,0.124461545390881,2.24439099631599,-114.300800843559,3.71023996372016,2.93233857950734,0.262895014977975
71,0.260244730695925,npp,5y,0.110984434889033,0.169512321435599,2.29782516368916,-36.6849659433581,3.84253697404701,2.89500688579628,0.259905915343626
72,0.257676535988107,npp,5y,0.111194589777376,0.148364887849777,2.27679414202871,-50.2997305972132,3.88083453607958,2.85577573931298,0.256717486402541
73,0.240269720754077,npp,5y,0.109778779632379,0.119841075305192,2.33524013939861,342.834270496385,4.16198927131367,2.66074782096588,0.240099976296855
74,0.231523274076513,npp,5y,0.108584619563528,0.0818701774357357,2.39042079076021,36.9904888126272,4.31922019066439,2.56126128219061,0.231089065058928
75,0.226674551632599,npp,5y,0.108313936616439,0.0310353141543309,2.4044468054378,20.8876140032716,4.41161124086321,2.50213877276946,0.225547241258487
76,0.231961406902828,npp,5y,0.108860561262568,0.0313398206258787,2.37651261906299,23.5329919194709,4.31106197083428,2.52305238822175,0.227524071722346
77,0.247836131753723,npp,5y,0.108079315466736,0.0859379463324505,2.42322614931901,70.0344606427618,4.03492417721283,2.7282066686856,0.245998250231781
78,0.255778653267335,npp,5y,0.108585934884506,0.106293172141921,2.3883286331826,223.139586516695,3.90963040592297,2.81501295384845,0.253351856697917
79,0.234613534018575,npp,5y,0.108574147282559,0.106690807224378,2.38929474815554,232.635572820545,4.26232870231956,2.58689084624111,0.233447330735211
80,0.241554073929653,npp,5y,0.107107362189791,0.101518424242716,2.45153352158811,-123.591753233442,4.13985979922336,2.65866046749983,0.23991480588572
81,0.237503275084092,npp,5y,0.107470869607599,0.138031982375463,2.42948745113377,-44.4735510252222,4.21046825415748,2.61160773699334,0.235697061095884
82,0.25517561228085,npp,5y,0.106328888028395,0.115841255296038,2.49480942935342,-184.522517564643,3.91886979739813,2.83696315590453,0.255170970634192
83,0.248877739313997,npp,5y,0.107667443796101,0.123367884094903,2.43918823783723,185.937487741011,4.0180371404706,2.66624778482599,0.24058710422248
84,0.28735494650873,npp,5y,0.108181947207325,0.117156299786335,2.40475056110165,91.6452215325256,3.4800166558804,3.19572287738243,0.282829883151284
85,0.293746905911288,npp,5y,0.104117306358563,0.199457264873034,2.32495061310133,19.6162820018944,3.40429117677925,3.3439665646426,0.293244047148711
86,0.294344809305941,npp,5y,0.105395300476203,0.150150971584183,2.24783106264459,12.7779339672321,3.39737603105005,3.24308185846168,0.286215836398189
87,0.304433757031599,npp,5y,0.104985209152697,0.102932700799576,2.2649312480264,10.1433516425571,3.28478684410876,3.49609101296618,0.303395145511707
