timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
1,NA,wue,5y,,,,,,,
2,NA,wue,5y,,,,,,,
3,NA,wue,5y,,,,,,,
4,NA,wue,5y,,,,,,,
5,NA,wue,5y,,,,,,,
6,NA,wue,5y,,,,,,,
7,NA,wue,5y,,,,,,,
8,NA,wue,5y,,,,,,,
9,NA,wue,5y,,,,,,,
10,NA,wue,5y,,,,,,,
11,NA,wue,5y,,,,,,,
12,NA,wue,5y,,,,,,,
13,NA,wue,5y,,,,,,,
14,NA,wue,5y,,,,,,,
15,NA,wue,5y,,,,,,,
16,NA,wue,5y,,,,,,,
17,NA,wue,5y,,,,,,,
18,NA,wue,5y,,,,,,,
19,NA,wue,5y,,,,,,,
20,NA,wue,5y,,,,,,,
21,NA,wue,5y,,,,,,,
22,NA,wue,5y,,,,,,,
23,NA,wue,5y,,,,,,,
24,NA,wue,5y,,,,,,,
25,NA,wue,5y,,,,,,,
26,NA,wue,5y,,,,,,,
27,NA,wue,5y,,,,,,,
28,NA,wue,5y,,,,,,,
29,NA,wue,5y,,,,,,,
30,NA,wue,5y,,,,,,,
31,NA,wue,5y,,,,,,,
32,NA,wue,5y,,,,,,,
33,NA,wue,5y,,,,,,,
34,NA,wue,5y,,,,,,,
35,NA,wue,5y,,,,,,,
36,NA,wue,5y,,,,,,,
37,NA,wue,5y,,,,,,,
38,NA,wue,5y,,,,,,,
39,NA,wue,5y,,,,,,,
40,NA,wue,5y,,,,,,,
41,NA,wue,5y,,,,,,,
42,NA,wue,5y,,,,,,,
43,NA,wue,5y,,,,,,,
44,NA,wue,5y,,,,,,,
45,NA,wue,5y,,,,,,,
46,NA,wue,5y,,,,,,,
47,NA,wue,5y,,,,,,,
48,NA,wue,5y,,,,,,,
49,NA,wue,5y,,,,,,,
50,NA,wue,5y,,,,,,,
51,NA,wue,5y,,,,,,,
52,NA,wue,5y,,,,,,,
53,NA,wue,5y,,,,,,,
54,NA,wue,5y,,,,,,,
55,NA,wue,5y,,,,,,,
56,NA,wue,5y,,,,,,,
57,NA,wue,5y,,,,,,,
58,NA,wue,5y,,,,,,,
59,NA,wue,5y,,,,,,,
60,NA,wue,5y,,,,,,,
61,NA,wue,5y,,,,,,,
62,NA,wue,5y,,,,,,,
63,NA,wue,5y,,,,,,,
64,NA,wue,5y,,,,,,,
65,NA,wue,5y,,,,,,,
66,NA,wue,5y,,,,,,,
67,NA,wue,5y,,,,,,,
68,0.545041525711349,wue,5y,0.0016617762053138,0.353877889937483,2.21900595332829,-32.0363319333144,1.83472259053083,10.8192686588363,0.534686933916836
69,0.544327672586562,wue,5y,0.0016657986912918,0.377429675919296,2.2133966469848,-24.5432673254492,1.83712871926601,11.2521190658586,0.541695695718565
70,0.548225132831229,wue,5y,0.0016802882684071,0.401465385554773,2.18575469517294,-17.2553354168656,1.82406814301936,11.0741856443182,0.538856555292663
71,0.540617787707433,wue,5y,0.0016632243130425,0.460744360415092,2.27526861412549,-10.6513714171383,1.84973565934751,10.7861574740631,0.534136237602212
72,0.520029129098734,wue,5y,0.001650715005631,0.463677229378632,2.31351976177725,-9.89968833123654,1.92296920315427,9.60536081118907,0.512980311979947
73,0.537154224157674,wue,5y,0.0016612897754422,0.455607198189991,2.2706888044002,-10.6241939811264,1.86166273116092,10.27823527275,0.525411605477579
74,0.545109336502705,wue,5y,0.0016809173984124,0.407605932015669,2.16875795994395,-13.8470796672587,1.8344943537672,10.6863228550465,0.532462809973886
75,0.528111347755772,wue,5y,0.0016613676714387,0.377083976200466,2.17409594737047,-22.3814379525097,1.89354007303486,10.3008576993101,0.525811664340251
76,0.518000011218695,wue,5y,0.0016356965106173,0.387473471168335,2.21343179266658,-36.7346626030666,1.93050188869168,9.84432841495407,0.517517071601782
77,0.50901354226583,wue,5y,0.0016377072519842,0.32838345050031,2.1623006276678,203.230213252662,1.96458427323679,8.94146697209155,0.499597013864422
