timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
1,NA,cleaf,regclim,,,,,,,
2,NA,cleaf,regclim,,,,,,,
3,NA,cleaf,regclim,,,,,,,
4,NA,cleaf,regclim,,,,,,,
5,NA,cleaf,regclim,,,,,,,
6,NA,cleaf,regclim,,,,,,,
7,NA,cleaf,regclim,,,,,,,
8,NA,cleaf,regclim,,,,,,,
9,NA,cleaf,regclim,,,,,,,
10,NA,cleaf,regclim,,,,,,,
11,NA,cleaf,regclim,,,,,,,
12,NA,cleaf,regclim,,,,,,,
13,NA,cleaf,regclim,,,,,,,
14,NA,cleaf,regclim,,,,,,,
15,NA,cleaf,regclim,,,,,,,
16,NA,cleaf,regclim,,,,,,,
17,NA,cleaf,regclim,,,,,,,
18,NA,cleaf,regclim,,,,,,,
19,NA,cleaf,regclim,,,,,,,
20,NA,cleaf,regclim,,,,,,,
21,NA,cleaf,regclim,,,,,,,
22,NA,cleaf,regclim,,,,,,,
23,NA,cleaf,regclim,,,,,,,
24,NA,cleaf,regclim,,,,,,,
25,NA,cleaf,regclim,,,,,,,
26,NA,cleaf,regclim,,,,,,,
27,NA,cleaf,regclim,,,,,,,
28,NA,cleaf,regclim,,,,,,,
29,NA,cleaf,regclim,,,,,,,
30,NA,cleaf,regclim,,,,,,,
31,NA,cleaf,regclim,,,,,,,
32,NA,cleaf,regclim,,,,,,,
33,NA,cleaf,regclim,,,,,,,
34,NA,cleaf,regclim,,,,,,,
35,NA,cleaf,regclim,,,,,,,
36,NA,cleaf,regclim,,,,,,,
37,NA,cleaf,regclim,,,,,,,
38,NA,cleaf,regclim,,,,,,,
39,NA,cleaf,regclim,,,,,,,
40,NA,cleaf,regclim,,,,,,,
41,NA,cleaf,regclim,,,,,,,
42,NA,cleaf,regclim,,,,,,,
43,NA,cleaf,regclim,,,,,,,
44,NA,cleaf,regclim,,,,,,,
45,NA,cleaf,regclim,,,,,,,
46,NA,cleaf,regclim,,,,,,,
47,NA,cleaf,regclim,,,,,,,
48,NA,cleaf,regclim,,,,,,,
49,NA,cleaf,regclim,,,,,,,
50,NA,cleaf,regclim,,,,,,,
51,NA,cleaf,regclim,,,,,,,
52,NA,cleaf,regclim,,,,,,,
53,NA,cleaf,regclim,,,,,,,
54,NA,cleaf,regclim,,,,,,,
55,NA,cleaf,regclim,,,,,,,
56,NA,cleaf,regclim,,,,,,,
57,NA,cleaf,regclim,,,,,,,
58,NA,cleaf,regclim,,,,,,,
59,NA,cleaf,regclim,,,,,,,
60,NA,cleaf,regclim,,,,,,,
61,NA,cleaf,regclim,,,,,,,
62,NA,cleaf,regclim,,,,,,,
63,NA,cleaf,regclim,,,,,,,
64,NA,cleaf,regclim,,,,,,,
65,NA,cleaf,regclim,,,,,,,
66,NA,cleaf,regclim,,,,,,,
67,NA,cleaf,regclim,,,,,,,
68,-0.379889209473928,cleaf,regclim,0.0146138252411962,0.026605202235116,2.77967366463187,79.7850424473383,-2.63234641853819,0.202298049179341,-0.379617717909852
69,-0.367572010381635,cleaf,regclim,0.0145932038826714,0.0056591840638554,2.79437116620582,193.430811157088,-2.72055535175744,0.213967184706952,-0.367553215033246
70,-0.339703409633694,cleaf,regclim,0.0141419174229939,0.0459918824742793,2.87407948476748,30.3793176485335,-2.94374437123934,0.243325203511579,-0.339425522740625
71,-0.306986986219362,cleaf,regclim,0.0138638146437688,0.0374346002346991,2.9927117229057,70.9747895996565,-3.25746707479461,0.282048882629238,-0.306354543877937
72,-0.285693364663246,cleaf,regclim,0.0135121365158102,0.0416015411311917,3.08563844934764,19.2713611197764,-3.50025630164259,0.310590635025901,-0.284355721670831
73,-0.297040238954934,cleaf,regclim,0.0137114473059687,0.0556908109362634,3.05641212595241,142.517334335599,-3.36654725136992,0.312873757448813,-0.282671605076596
74,-0.257618154889916,cleaf,regclim,0.0137182939027231,0.0577071212315032,3.05107387254042,165.009888230026,-3.88171400586001,0.350314896936834,-0.256464222068074
75,-0.266976881084523,cleaf,regclim,0.0134657882287616,0.0735853695136742,3.19543556028337,-56.6974131634964,-3.74564267863856,0.334856191419547,-0.266976045716973
76,-0.267054324896973,cleaf,regclim,0.0134658312110361,0.0780025339214809,3.19584163294945,-52.3548604867806,-3.74455646949657,0.334758371765565,-0.267043892499072
77,-0.262772517258973,cleaf,regclim,0.013470345316944,0.0934976237100377,3.19341532644057,-41.1086883335378,-3.80557301209113,0.341291802105571,-0.262549679315994
78,-0.204010705989845,cleaf,regclim,0.0129533259596505,0.244902501653878,3.16531578179054,-1731.3792069815,-4.90170354123364,0.440728209073138,-0.202088085198421
79,-0.18791466174003,cleaf,regclim,0.0125052607283117,0.22169600490512,3.30477622920256,-26.2528911540392,-5.32156453754229,0.467958122956606,-0.187666364650129
80,-0.213476363713169,cleaf,regclim,0.0124848359756852,0.172330386031389,3.30757686802635,-54.6515945595925,-4.6843593482959,0.422158676746677,-0.212389999176938
81,-0.157241220963309,cleaf,regclim,0.0121651599157882,0.188633659671895,3.42885976946902,61.5075512434899,-6.35965552718102,0.531405220164702,-0.156817240809062
82,-0.220998727399104,cleaf,regclim,0.0121170424791337,0.171378473668698,3.41410757144323,69.2008435692477,-4.524912933974,0.431089031915339,-0.207386037272228
83,-0.132611559785105,cleaf,regclim,0.0118686668060281,0.12532712943077,3.5028903364507,1045.48879240168,-7.54082073704952,0.591841395717775,-0.130437846368563
84,-0.166750261560537,cleaf,regclim,0.0116338638737034,0.174231500596545,3.61319530585967,63.0605384766668,-5.99699209249493,0.513962705340248,-0.164947106488359
85,-0.146510576811902,cleaf,regclim,0.0116953867069861,0.178433649446433,3.55664818449568,108.635809106878,-6.82544579210723,0.559345988888253,-0.144293210873868
86,-0.145200899030578,cleaf,regclim,0.0116479525154305,0.207062952994861,3.61877994648643,-678.271687906031,-6.88700969950201,0.55727744373499,-0.145200333829341
87,-0.144833613589971,cleaf,regclim,0.011649717529564,0.19904982847595,3.61443755287166,860.420240524596,-6.90447455679061,0.558216358105443,-0.144788203666793
88,-0.148250156196065,cleaf,regclim,0.0116451935300057,0.248196361535972,3.63633909490225,-56.7903246380551,-6.74535545633742,0.552220866567304,-0.1474310112139
89,-0.147189676658064,cleaf,regclim,0.0116449352321084,0.248800213450217,3.63685769802268,-56.161413914288,-6.79395473041969,0.552820040218829,-0.147165703573806
90,-0.145477215511069,cleaf,regclim,0.011766487236386,0.19378023935295,3.51143809141037,78.1990457337,-6.87392865258624,0.565737190738912,-0.141510000256567
91,-0.144632531779275,cleaf,regclim,0.0117686347178546,0.203017156178897,3.51137572621927,103.398778131775,-6.91407380966068,0.558700734407198,-0.144575841206078
92,-0.13953602317673,cleaf,regclim,0.011934584015323,0.161593170061715,3.35905797873617,29.0870859810438,-7.16660814342864,0.579603854271649,-0.135570539121762
93,-0.109733924088585,cleaf,regclim,0.0116616826730907,0.138359090075817,3.51577436331197,63.226055180538,-9.11295215500293,0.645023681730391,-0.109228322411828
94,-0.116684847572535,cleaf,regclim,0.0116317968542546,0.132379589992208,3.54544477307534,50.4018183023099,-8.57009303953003,0.626952578106753,-0.116244486956447
