timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
1,NA,croot,regclim,,,,,,,
2,NA,croot,regclim,,,,,,,
3,NA,croot,regclim,,,,,,,
4,NA,croot,regclim,,,,,,,
5,NA,croot,regclim,,,,,,,
6,NA,croot,regclim,,,,,,,
7,NA,croot,regclim,,,,,,,
8,NA,croot,regclim,,,,,,,
9,NA,croot,regclim,,,,,,,
10,NA,croot,regclim,,,,,,,
11,NA,croot,regclim,,,,,,,
12,NA,croot,regclim,,,,,,,
13,NA,croot,regclim,,,,,,,
14,NA,croot,regclim,,,,,,,
15,NA,croot,regclim,,,,,,,
16,NA,croot,regclim,,,,,,,
17,NA,croot,regclim,,,,,,,
18,NA,croot,regclim,,,,,,,
19,NA,croot,regclim,,,,,,,
20,NA,croot,regclim,,,,,,,
21,NA,croot,regclim,,,,,,,
22,NA,croot,regclim,,,,,,,
23,NA,croot,regclim,,,,,,,
24,NA,croot,regclim,,,,,,,
25,NA,croot,regclim,,,,,,,
26,NA,croot,regclim,,,,,,,
27,NA,croot,regclim,,,,,,,
28,NA,croot,regclim,,,,,,,
29,NA,croot,regclim,,,,,,,
30,NA,croot,regclim,,,,,,,
31,NA,croot,regclim,,,,,,,
32,NA,croot,regclim,,,,,,,
33,NA,croot,regclim,,,,,,,
34,NA,croot,regclim,,,,,,,
35,NA,croot,regclim,,,,,,,
36,NA,croot,regclim,,,,,,,
37,NA,croot,regclim,,,,,,,
38,NA,croot,regclim,,,,,,,
39,NA,croot,regclim,,,,,,,
40,NA,croot,regclim,,,,,,,
41,NA,croot,regclim,,,,,,,
42,NA,croot,regclim,,,,,,,
43,NA,croot,regclim,,,,,,,
44,NA,croot,regclim,,,,,,,
45,NA,croot,regclim,,,,,,,
46,NA,croot,regclim,,,,,,,
47,NA,croot,regclim,,,,,,,
48,NA,croot,regclim,,,,,,,
49,NA,croot,regclim,,,,,,,
50,NA,croot,regclim,,,,,,,
51,NA,croot,regclim,,,,,,,
52,NA,croot,regclim,,,,,,,
53,NA,croot,regclim,,,,,,,
54,NA,croot,regclim,,,,,,,
55,NA,croot,regclim,,,,,,,
56,NA,croot,regclim,,,,,,,
57,NA,croot,regclim,,,,,,,
58,NA,croot,regclim,,,,,,,
59,NA,croot,regclim,,,,,,,
60,NA,croot,regclim,,,,,,,
61,NA,croot,regclim,,,,,,,
62,NA,croot,regclim,,,,,,,
63,NA,croot,regclim,,,,,,,
64,NA,croot,regclim,,,,,,,
65,NA,croot,regclim,,,,,,,
66,NA,croot,regclim,,,,,,,
67,NA,croot,regclim,,,,,,,
68,-0.359879471660857,croot,regclim,0.0198956800147555,0.0162524015131417,2.74254286631667,72.3178648913132,-2.77870809186465,0.221984626513057,-0.359571524108669
69,-0.350481568466706,croot,regclim,0.019880185074103,0.0025123910678117,2.7507293529488,134.666713337031,-2.85321708749142,0.231463590219576,-0.350434325345909
70,-0.32456603124561,croot,regclim,0.0192984411332341,0.0520610219488582,2.8281637032037,30.1318797130545,-3.08103715032109,0.26072860296423,-0.324054223445253
71,-0.293089492852013,croot,regclim,0.0189732268578888,0.0499220251977042,2.93793809428379,60.4077928650353,-3.41192715668221,0.299959629702713,-0.29234002701562
72,-0.267011399569135,croot,regclim,0.0184848414336449,0.0566615718569076,3.0272664286726,18.6103942330461,-3.74515845246179,0.336320139061948,-0.265962711759297
73,-0.279344983449791,croot,regclim,0.0187058452325576,0.0685741634018543,3.01716294219195,138.792409775866,-3.57980296495906,0.336277454308303,-0.26599220368401
74,-0.241654951491943,croot,regclim,0.0187337420874117,0.0752015309499992,3.00158594623266,240.110686215115,-4.13813163697307,0.375112016616323,-0.240418775691982
75,-0.252039837602846,croot,regclim,0.018364785061214,0.0882654091629666,3.14648617734904,-49.1194988694067,-3.96762674310146,0.357005684328319,-0.252039313579649
76,-0.252078728520268,croot,regclim,0.0183640811125213,0.0898933021530295,3.14716097668928,-47.8530870357617,-3.96701461432354,0.356961213880988,-0.252068483951315
