timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
1,NA,csto,regclim,,,,,,,
2,NA,csto,regclim,,,,,,,
3,NA,csto,regclim,,,,,,,
4,NA,csto,regclim,,,,,,,
5,NA,csto,regclim,,,,,,,
6,NA,csto,regclim,,,,,,,
7,NA,csto,regclim,,,,,,,
8,NA,csto,regclim,,,,,,,
9,NA,csto,regclim,,,,,,,
10,NA,csto,regclim,,,,,,,
11,NA,csto,regclim,,,,,,,
12,NA,csto,regclim,,,,,,,
13,NA,csto,regclim,,,,,,,
14,NA,csto,regclim,,,,,,,
15,NA,csto,regclim,,,,,,,
16,NA,csto,regclim,,,,,,,
17,NA,csto,regclim,,,,,,,
18,NA,csto,regclim,,,,,,,
19,NA,csto,regclim,,,,,,,
20,NA,csto,regclim,,,,,,,
21,NA,csto,regclim,,,,,,,
22,NA,csto,regclim,,,,,,,
23,NA,csto,regclim,,,,,,,
24,NA,csto,regclim,,,,,,,
25,NA,csto,regclim,,,,,,,
26,NA,csto,regclim,,,,,,,
27,NA,csto,regclim,,,,,,,
28,NA,csto,regclim,,,,,,,
29,NA,csto,regclim,,,,,,,
30,NA,csto,regclim,,,,,,,
31,NA,csto,regclim,,,,,,,
32,NA,csto,regclim,,,,,,,
33,NA,csto,regclim,,,,,,,
34,NA,csto,regclim,,,,,,,
35,NA,csto,regclim,,,,,,,
36,NA,csto,regclim,,,,,,,
37,NA,csto,regclim,,,,,,,
38,NA,csto,regclim,,,,,,,
39,NA,csto,regclim,,,,,,,
40,NA,csto,regclim,,,,,,,
41,NA,csto,regclim,,,,,,,
42,NA,csto,regclim,,,,,,,
43,NA,csto,regclim,,,,,,,
44,NA,csto,regclim,,,,,,,
45,NA,csto,regclim,,,,,,,
46,NA,csto,regclim,,,,,,,
47,NA,csto,regclim,,,,,,,
48,NA,csto,regclim,,,,,,,
49,NA,csto,regclim,,,,,,,
50,NA,csto,regclim,,,,,,,
51,NA,csto,regclim,,,,,,,
52,NA,csto,regclim,,,,,,,
53,NA,csto,regclim,,,,,,,
54,NA,csto,regclim,,,,,,,
55,NA,csto,regclim,,,,,,,
56,NA,csto,regclim,,,,,,,
57,NA,csto,regclim,,,,,,,
58,NA,csto,regclim,,,,,,,
59,NA,csto,regclim,,,,,,,
60,NA,csto,regclim,,,,,,,
61,NA,csto,regclim,,,,,,,
62,NA,csto,regclim,,,,,,,
63,NA,csto,regclim,,,,,,,
64,NA,csto,regclim,,,,,,,
65,NA,csto,regclim,,,,,,,
66,NA,csto,regclim,,,,,,,
67,NA,csto,regclim,,,,,,,
68,0.309243686736452,csto,regclim,1.88396754469742,0.0265603700673619,1.90941104503978,-27.7636211607315,3.23369576450637,3.57805552265834,0.308656284180579
69,0.30757724041799,csto,regclim,1.8923387900316,0.0151390665033307,1.88380627639195,-34.2734826860116,3.2512158527758,3.50640259389604,0.304064790495169
70,0.326192956212089,csto,regclim,1.88912030300762,0.0152773588032172,1.89001436211231,-32.3321745011898,3.06567012241001,3.79577748377379,0.321982130601923
71,0.333810765902694,csto,regclim,1.89003281288868,0.0148280635789269,1.88660807281986,-48.8034214391486,2.99570925250356,3.98805535420942,0.3330341272751
72,0.365296986751144,csto,regclim,1.8685802659112,0.0073120845991456,1.93780206953595,-26.5393286839436,2.73749862788012,4.61670938841747,0.365239082573106
73,0.353348620400229,csto,regclim,1.86348362326847,0.045829946241927,1.94509118018122,-591.496015789637,2.8300662356268,4.23907619687264,0.346562743253983
74,0.330223797740926,csto,regclim,1.8476964758292,0.0942949790397748,1.99211900445804,45.4372535649059,3.02824934738514,3.92147908371131,0.329278811446141
75,0.313718640475566,csto,regclim,1.80314097065801,0.0959887249988978,2.03684549322798,19.7406279846272,3.18756959575019,3.65870497410715,0.313699144192071
76,0.319485685305669,csto,regclim,1.78999356351028,0.100450366741861,2.07228603942096,17.0041060819541,3.13003068992981,3.71801283269811,0.317326325552946
77,0.323394823972322,csto,regclim,1.79449755495272,0.0776073867935456,2.05030578143374,19.8558888424409,3.09219543997892,3.7926238439311,0.321795477947769
78,0.354455601215711,csto,regclim,1.78714914555809,0.0230081811105174,2.055177102559,59.2138749825085,2.82122781124124,4.28784035612875,0.349082161831149
79,0.374288378304878,csto,regclim,1.77833260590077,0.0459147860099231,2.09059341031469,36.7839882368726,2.67173670881506,4.81153381464169,0.374183128595391
80,0.351468024039991,csto,regclim,1.744321153298,0.0330240731813036,2.14681911962389,698.920542355184,2.84520904207837,4.33252449766746,0.351361461853173
81,0.400643351683339,csto,regclim,1.71253070027842,0.0225017901389172,2.21255377798588,-45.463180932931,2.4959855088033,5.44779824613915,0.400643339473723
82,0.402063290872234,csto,regclim,1.68726838220759,0.0140246973079199,2.26512188437716,-118.154364768433,2.4871706089621,5.42721234105725,0.399846100579784
83,0.411300393157387,csto,regclim,1.68759565097685,0.0594472772768934,2.26613332262605,117.99232725582,2.43131301753301,5.6759640494534,0.409244760056733
84,0.454794238062005,csto,regclim,1.68434666144329,0.0664413433511237,2.26032430661006,135.462367169356,2.19879654645858,6.45323449024506,0.435688029466921
85,0.469399652719463,csto,regclim,1.71652979867203,0.0854945556316296,2.21048228626978,26.9400806218249,2.13038078363823,6.96816859776778,0.451163256791112
