timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
1,NA,lai,regclim,,,,,,,
2,NA,lai,regclim,,,,,,,
3,NA,lai,regclim,,,,,,,
4,NA,lai,regclim,,,,,,,
5,NA,lai,regclim,,,,,,,
6,NA,lai,regclim,,,,,,,
7,NA,lai,regclim,,,,,,,
8,NA,lai,regclim,,,,,,,
9,NA,lai,regclim,,,,,,,
10,NA,lai,regclim,,,,,,,
11,NA,lai,regclim,,,,,,,
12,NA,lai,regclim,,,,,,,
13,NA,lai,regclim,,,,,,,
14,NA,lai,regclim,,,,,,,
15,NA,lai,regclim,,,,,,,
16,NA,lai,regclim,,,,,,,
17,NA,lai,regclim,,,,,,,
18,NA,lai,regclim,,,,,,,
19,NA,lai,regclim,,,,,,,
20,NA,lai,regclim,,,,,,,
21,NA,lai,regclim,,,,,,,
22,NA,lai,regclim,,,,,,,
23,NA,lai,regclim,,,,,,,
24,NA,lai,regclim,,,,,,,
25,NA,lai,regclim,,,,,,,
26,NA,lai,regclim,,,,,,,
27,NA,lai,regclim,,,,,,,
28,NA,lai,regclim,,,,,,,
29,NA,lai,regclim,,,,,,,
30,NA,lai,regclim,,,,,,,
31,NA,lai,regclim,,,,,,,
32,NA,lai,regclim,,,,,,,
33,NA,lai,regclim,,,,,,,
34,NA,lai,regclim,,,,,,,
35,NA,lai,regclim,,,,,,,
36,NA,lai,regclim,,,,,,,
37,NA,lai,regclim,,,,,,,
38,NA,lai,regclim,,,,,,,
39,NA,lai,regclim,,,,,,,
40,NA,lai,regclim,,,,,,,
41,NA,lai,regclim,,,,,,,
42,NA,lai,regclim,,,,,,,
43,NA,lai,regclim,,,,,,,
44,NA,lai,regclim,,,,,,,
45,NA,lai,regclim,,,,,,,
46,NA,lai,regclim,,,,,,,
47,NA,lai,regclim,,,,,,,
48,NA,lai,regclim,,,,,,,
49,NA,lai,regclim,,,,,,,
50,NA,lai,regclim,,,,,,,
51,NA,lai,regclim,,,,,,,
52,NA,lai,regclim,,,,,,,
53,NA,lai,regclim,,,,,,,
54,NA,lai,regclim,,,,,,,
55,NA,lai,regclim,,,,,,,
56,NA,lai,regclim,,,,,,,
57,NA,lai,regclim,,,,,,,
58,NA,lai,regclim,,,,,,,
59,NA,lai,regclim,,,,,,,
60,NA,lai,regclim,,,,,,,
61,NA,lai,regclim,,,,,,,
62,NA,lai,regclim,,,,,,,
63,NA,lai,regclim,,,,,,,
64,NA,lai,regclim,,,,,,,
65,NA,lai,regclim,,,,,,,
66,NA,lai,regclim,,,,,,,
67,NA,lai,regclim,,,,,,,
68,-0.19522786763252,lai,regclim,0.425016479793413,0.078242939187885,2.315394049544,73.3344438852291,-5.12221954850377,0.454925902202533,-0.194471342784701
69,-0.19890648994941,lai,regclim,0.425322186980195,0.0678282674820893,2.30785803526622,99.2757009266837,-5.02748804352407,0.447169000012134,-0.198605770924325
70,-0.170651360611142,lai,regclim,0.415688844559574,0.0670594140102145,2.38675413124577,28.0915545582578,-5.8599005388458,0.502062605584337,-0.170640261121892
