timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
1,NA,photo,regclim,,,,,,,
2,NA,photo,regclim,,,,,,,
3,NA,photo,regclim,,,,,,,
4,NA,photo,regclim,,,,,,,
5,NA,photo,regclim,,,,,,,
6,NA,photo,regclim,,,,,,,
7,NA,photo,regclim,,,,,,,
8,NA,photo,regclim,,,,,,,
9,NA,photo,regclim,,,,,,,
10,NA,photo,regclim,,,,,,,
11,NA,photo,regclim,,,,,,,
12,NA,photo,regclim,,,,,,,
13,NA,photo,regclim,,,,,,,
14,NA,photo,regclim,,,,,,,
15,NA,photo,regclim,,,,,,,
16,NA,photo,regclim,,,,,,,
17,NA,photo,regclim,,,,,,,
18,NA,photo,regclim,,,,,,,
19,NA,photo,regclim,,,,,,,
20,NA,photo,regclim,,,,,,,
21,NA,photo,regclim,,,,,,,
22,NA,photo,regclim,,,,,,,
23,NA,photo,regclim,,,,,,,
24,NA,photo,regclim,,,,,,,
25,NA,photo,regclim,,,,,,,
26,NA,photo,regclim,,,,,,,
27,NA,photo,regclim,,,,,,,
28,NA,photo,regclim,,,,,,,
29,NA,photo,regclim,,,,,,,
30,NA,photo,regclim,,,,,,,
31,NA,photo,regclim,,,,,,,
32,NA,photo,regclim,,,,,,,
33,NA,photo,regclim,,,,,,,
34,NA,photo,regclim,,,,,,,
35,NA,photo,regclim,,,,,,,
36,NA,photo,regclim,,,,,,,
37,NA,photo,regclim,,,,,,,
38,NA,photo,regclim,,,,,,,
39,NA,photo,regclim,,,,,,,
40,NA,photo,regclim,,,,,,,
41,NA,photo,regclim,,,,,,,
42,NA,photo,regclim,,,,,,,
43,NA,photo,regclim,,,,,,,
44,NA,photo,regclim,,,,,,,
45,NA,photo,regclim,,,,,,,
46,NA,photo,regclim,,,,,,,
47,NA,photo,regclim,,,,,,,
48,NA,photo,regclim,,,,,,,
49,NA,photo,regclim,,,,,,,
50,NA,photo,regclim,,,,,,,
51,NA,photo,regclim,,,,,,,
52,NA,photo,regclim,,,,,,,
53,NA,photo,regclim,,,,,,,
54,NA,photo,regclim,,,,,,,
55,NA,photo,regclim,,,,,,,
56,NA,photo,regclim,,,,,,,
57,NA,photo,regclim,,,,,,,
58,NA,photo,regclim,,,,,,,
59,NA,photo,regclim,,,,,,,
60,NA,photo,regclim,,,,,,,
61,NA,photo,regclim,,,,,,,
62,NA,photo,regclim,,,,,,,
63,NA,photo,regclim,,,,,,,
64,NA,photo,regclim,,,,,,,
65,NA,photo,regclim,,,,,,,
66,NA,photo,regclim,,,,,,,
67,NA,photo,regclim,,,,,,,
