timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
1,NA,wue,regclim,,,,,,,
2,NA,wue,regclim,,,,,,,
3,NA,wue,regclim,,,,,,,
4,NA,wue,regclim,,,,,,,
5,NA,wue,regclim,,,,,,,
6,NA,wue,regclim,,,,,,,
7,NA,wue,regclim,,,,,,,
8,NA,wue,regclim,,,,,,,
9,NA,wue,regclim,,,,,,,
10,NA,wue,regclim,,,,,,,
11,NA,wue,regclim,,,,,,,
12,NA,wue,regclim,,,,,,,
13,NA,wue,regclim,,,,,,,
14,NA,wue,regclim,,,,,,,
15,NA,wue,regclim,,,,,,,
16,NA,wue,regclim,,,,,,,
17,NA,wue,regclim,,,,,,,
18,NA,wue,regclim,,,,,,,
19,NA,wue,regclim,,,,,,,
20,NA,wue,regclim,,,,,,,
21,NA,wue,regclim,,,,,,,
22,NA,wue,regclim,,,,,,,
23,NA,wue,regclim,,,,,,,
24,NA,wue,regclim,,,,,,,
25,NA,wue,regclim,,,,,,,
26,NA,wue,regclim,,,,,,,
27,NA,wue,regclim,,,,,,,
28,NA,wue,regclim,,,,,,,
29,NA,wue,regclim,,,,,,,
30,NA,wue,regclim,,,,,,,
31,NA,wue,regclim,,,,,,,
32,NA,wue,regclim,,,,,,,
33,NA,wue,regclim,,,,,,,
34,NA,wue,regclim,,,,,,,
35,NA,wue,regclim,,,,,,,
36,NA,wue,regclim,,,,,,,
37,NA,wue,regclim,,,,,,,
38,NA,wue,regclim,,,,,,,
39,NA,wue,regclim,,,,,,,
40,NA,wue,regclim,,,,,,,
41,NA,wue,regclim,,,,,,,
42,NA,wue,regclim,,,,,,,
43,NA,wue,regclim,,,,,,,
44,NA,wue,regclim,,,,,,,
45,NA,wue,regclim,,,,,,,
46,NA,wue,regclim,,,,,,,
47,NA,wue,regclim,,,,,,,
48,NA,wue,regclim,,,,,,,
49,NA,wue,regclim,,,,,,,
50,NA,wue,regclim,,,,,,,
51,NA,wue,regclim,,,,,,,
52,NA,wue,regclim,,,,,,,
53,NA,wue,regclim,,,,,,,
54,NA,wue,regclim,,,,,,,
55,NA,wue,regclim,,,,,,,
56,NA,wue,regclim,,,,,,,
57,NA,wue,regclim,,,,,,,
58,NA,wue,regclim,,,,,,,
59,NA,wue,regclim,,,,,,,
60,NA,wue,regclim,,,,,,,
61,NA,wue,regclim,,,,,,,
62,NA,wue,regclim,,,,,,,
63,NA,wue,regclim,,,,,,,
64,NA,wue,regclim,,,,,,,
65,NA,wue,regclim,,,,,,,
66,NA,wue,regclim,,,,,,,
67,NA,wue,regclim,,,,,,,
68,0.542198995922028,wue,regclim,0.0017014412716619,0.384275607098699,2.12058612377626,-40.2202890130846,1.84434129816022,10.7652931591272,0.533788130385675
69,0.538376596846172,wue,regclim,0.0017025572748465,0.399391634979253,2.12366902317475,-33.067169934849,1.85743586526241,10.9997374310594,0.537651465011383
70,0.538891128922152,wue,regclim,0.0017094251948258,0.425373120588303,2.11448684948963,-23.6052562603785,1.85566238954448,10.8123259055404,0.534571640413016
71,0.531086708018289,wue,regclim,0.0016913223290401,0.48714847379393,2.20879720369188,-13.2182986509995,1.88293170381053,10.3285464578616,0.526299814566957
72,0.518274875636895,wue,regclim,0.001673288837167,0.503569720917375,2.28067640676482,-11.426789433241,1.92947805693094,9.73835525575154,0.515522418315056
73,0.528683131603538,wue,regclim,0.0016730646735751,0.503994004378804,2.28194279175907,-11.4025041813392,1.89149216273824,10.212585164374,0.524244335558531
74,0.529750001711211,wue,regclim,0.0016807152135189,0.461833582860876,2.21918404903291,-13.7011897228238,1.88768286318032,10.2431315202294,0.524788625789542
75,0.513952282187441,wue,regclim,0.0016586687606992,0.442073054717405,2.23464712778458,-20.8716903986533,1.94570592379488,9.60238455126327,0.512922918860262
76,0.504319209097969,wue,regclim,0.0016335299023957,0.461618782166723,2.27051591277834,-30.9534629181137,1.98287112995083,9.113872615718,0.50318904602655
77,0.492582506915777,wue,regclim,0.0016322525700144,0.404111874616202,2.22046430815695,-629.743726288703,2.03011675396541,8.28812872682377,0.485159323176859
78,0.488461934367632,wue,regclim,0.0016277722295182,0.358217316715877,2.20972000210308,55.724480049165,2.0472424351646,8.34730804993888,0.486524429378329
79,0.494975809152354,wue,regclim,0.0016204436019109,0.333504177677144,2.22735903411281,33.1895811755923,2.0203007531065,8.72514557783203,0.494965989161265
80,0.493146467332175,wue,regclim,0.0016254469262899,0.370253390575968,2.22536280768966,67.4415702249723,2.02779512019989,8.47593407220781,0.48945052664273
81,0.519511026033342,wue,regclim,0.0016638232664449,0.353243596394605,2.23210765179616,-54.3701388989284,1.92488696079344,8.71818828288211,0.494814680931512
82,0.586852164447954,wue,regclim,0.001678742653219,0.32079570396741,2.24429309439237,-41.6278322909237,1.70400666570036,12.6052361483096,0.561573470215337
83,0.578013883687307,wue,regclim,0.0016544184720511,0.373162374054713,2.33359045189045,-16.8381712815141,1.73006224975208,13.4840344717889,0.573081043159618
84,0.548291405589041,wue,regclim,0.0017193024083389,0.474668578869544,2.48964196716648,-27.8145981586081,1.82384766532257,8.95672540433983,0.499918389898266
85,0.559772496316012,wue,regclim,0.0017503675959473,0.449831458479088,2.37208178793682,-61.4712933341083,1.7864400387322,11.1298713855375,0.539751258908013
86,0.569676682070932,wue,regclim,0.0017704388176751,0.393163971544762,2.26679565192038,108.206648416854,1.75538166028619,12.1774275075126,0.555594104727598
87,0.580399500705977,wue,regclim,0.0017962066618144,0.343966428429366,2.16336508763336,28.9815804793602,1.72295117205242,12.7352429547142,0.563339460641509
88,0.574472116156339,wue,regclim,0.0017981954041751,0.28804756694653,2.1274350488154,17.4331387592992,1.74072852602624,13.1469034459273,0.568782952564237
89,0.567329668436433,wue,regclim,0.0017855813183871,0.272312969451497,2.15996540978436,14.3407415370393,1.76264358385489,13.0137224077086,0.567045980824763
90,0.569821355433317,wue,regclim,0.0017840204215804,0.235064747635158,2.15285498706382,11.9936350012337,1.75493598206679,13.1264005496679,0.568517019004857
91,0.568726452930416,wue,regclim,0.0017834854779329,0.243384058584333,2.15803976520692,12.3946005879091,1.75831455499811,13.1423462103426,0.568723888648118
92,0.565069071659209,wue,regclim,0.0018657841038982,0.109252484937644,2.33282475930952,24.7224498201122,1.76969515791,9.81644593154182,0.516994880556032
93,0.531573299517546,wue,regclim,0.0018573589502081,0.164321703492231,2.36822851934621,184.19587019422,1.88120810602714,10.1316136271704,0.52279158015763
94,0.553921439282988,wue,regclim,0.0018105907999657,0.177161732817096,2.42896030373957,-31.728750910289,1.80531015606551,11.891403465605,0.551445173326472
95,0.548739312471801,wue,regclim,0.0018098676478931,0.196288745284198,2.43756712960239,-26.3769980486309,1.82235895492067,11.6968467056793,0.548549836013248
96,0.555545083088311,wue,regclim,0.0017932031988502,0.229463397250884,2.51958277535207,-18.4384502466272,1.80003393143349,12.1730221772527,0.555531146111293
97,0.557399881830608,wue,regclim,0.0018223163391232,0.209700495426849,2.41635345822682,-29.0737216151525,1.79404415500737,11.126653944142,0.539699718526102
98,0.573372796470517,wue,regclim,0.0018578716843277,0.177212713030684,2.32214005238945,-227.188741689577,1.74406600061191,11.8565711720491,0.550931250681615
99,0.571861878041858,wue,regclim,0.0018647431930672,0.121778410585331,2.28388204901202,52.8720884724617,1.74867400398179,12.8128834671723,0.564383177895677
100,0.577531872474869,wue,regclim,0.00187721888847,0.068040864577463,2.2355374649139,22.8588004733781,1.73150616902709,13.0214303750489,0.567147128195726
101,0.56033167077522,wue,regclim,0.0018721820105161,0.0427645541441609,2.25553486896343,18.7002480322302,1.78465728809599,12.5135618932005,0.560314151914384
102,0.567177304075425,wue,regclim,0.0018525193669044,0.0073398635882712,2.31785682012284,13.3457387995102,1.76311709374573,12.998864284619,0.56685078966338
103,0.560537499862677,wue,regclim,0.001891946422895,0.0040685501157071,2.25332698547593,18.940300846897,1.78400196283921,10.9605163825374,0.537012439844611
104,0.572893862621302,wue,regclim,0.0019053156236295,0.0092600417308198,2.20813364407314,23.4330807794447,1.74552402328846,12.7669859803714,0.563767159683405
105,0.576172050790379,wue,regclim,0.0019204362310498,0.0108447749303165,2.23203031808586,-141.042378860861,1.73559269080863,11.6557628723824,0.547930612291611
106,0.595686972540591,wue,regclim,0.0019473202725816,0.0168055294420171,2.29357256941973,-16.7225624492763,1.67873404337688,12.4356163663236,0.559234133920031
107,0.569744823661724,wue,regclim,0.0019373684346685,0.0385276685231723,2.31612548022405,-10.7734301097977,1.75517171630107,12.6524758325623,0.562217843633751
108,0.56560031206109,wue,regclim,0.0018964812009082,0.0552419451057131,2.38971662392669,-7.98552823690589,1.7680329707668,12.8423137640707,0.564776699003274
109,0.574834941048294,wue,regclim,0.0019215543505218,0.077789210842288,2.36397706486036,-8.77110354255972,1.7396298112574,11.8858644521083,0.551363577625223
110,0.585399646584141,wue,regclim,0.0019456362075013,0.0324112804337066,2.30184782398953,-12.0614083640644,1.70823471765842,13.1023955320746,0.568204985077201
111,0.54380469293421,wue,regclim,0.0019521088218056,0.04034482125777,2.27836929938091,-11.4151627611147,1.83889549500629,11.0402707626209,0.538308851033432
112,0.526580229250213,wue,regclim,0.0019337497523642,0.0067845401197626,2.32871625920683,-16.0543031617448,1.89904585180473,10.2260368405346,0.524484276280791
113,0.520411704195462,wue,regclim,0.001939242463256,0.0644027850964588,2.31897878653227,-31.3463172731448,1.92155555291741,9.50024270342516,0.510939644076965
114,0.520080595605337,wue,regclim,0.0019141367254575,0.106558069038694,2.39590209725314,-172.186380827875,1.92277890859603,9.91616117797209,0.518853869672436
115,0.523957198470753,wue,regclim,0.0019105206295234,0.11635881635574,2.41401979995269,-536.126462370126,1.9085528415654,10.1462160790635,0.523054647745172
116,0.546095700186549,wue,regclim,0.0019633993959312,0.114849259818657,2.36422831312845,-26.7798499212474,1.83118087115206,9.75454490294124,0.515828901048205
117,0.566317973171725,wue,regclim,0.0019714040347382,0.125069460763725,2.3655775346737,-25.1693321869501,1.76579244765867,11.3432582870857,0.543128007969333
118,0.588030263971181,wue,regclim,0.0020018610558864,0.135802693165785,2.31082591148295,-19.1977027871479,1.70059274372485,12.939535037256,0.566068529021485
119,0.565425942147311,wue,regclim,0.0020018319596967,0.134599482902951,2.31074191112786,-19.0509099063168,1.76857820884962,12.8907411397253,0.565421734839045
120,0.567997813799696,wue,regclim,0.0020052938697139,0.146313439010426,2.29859274638347,-20.9955659243929,1.76057015661798,12.9147404674713,0.565740251405682
121,0.570045313562574,wue,regclim,0.0020115560828468,0.200987254294409,2.29740628971015,-45.3034209754949,1.75424650673885,12.6373703071649,0.562012130862016
122,0.587049226586344,wue,regclim,0.0020747211218815,0.155964121033557,2.36189376329665,49.875198531287,1.70343466052232,11.6843623165214,0.548361961197741
