Climate,window_size,gws,kendall_tau
regclim,15,ar(1),0.037
regclim,20,ar(1),0.102
regclim,25,ar(1),0.242
regclim,30,ar(1),0.376
regclim,35,ar(1),0.501
7y,15,ar(1),0.774
7y,20,ar(1),0.788
7y,25,ar(1),0.842
7y,30,ar(1),0.904
7y,35,ar(1),0.912
5y,15,ar(1),0.721
5y,20,ar(1),0.777
5y,25,ar(1),0.839
5y,30,ar(1),0.909
5y,35,ar(1),0.945
3y,15,ar(1),0.534
3y,20,ar(1),0.623
3y,25,ar(1),0.613
3y,30,ar(1),0.662
3y,35,ar(1),0.711
1y,15,ar(1),0.434
1y,20,ar(1),0.413
1y,25,ar(1),0.291
1y,30,ar(1),0.16
1y,35,ar(1),0.015
