month,precipitation,year,precipitation_annual_accumulated,precipitation_december_accumulated
1979-12-01,153.17342926282436,1979,1370.1984072504274,153.17342926282436
1980-12-01,217.68459489103407,1980,1787.348322296748,217.68459489103407
1981-12-01,230.61265790165635,1981,1522.3885336101375,230.61265790165635
1982-12-01,170.3775763613521,1982,1648.0167695750424,170.3775763613521
1983-12-01,277.02053322209395,1983,1764.6467105940246,277.02053322209395
1984-12-01,141.77280178992078,1984,1207.7007681476061,141.77280178992078
1985-12-01,134.47107065585442,1985,1736.978968168114,134.47107065585442
1986-12-01,177.71426486433484,1986,2027.945809889934,177.71426486433484
1987-12-01,272.3061648197472,1987,2676.027508628613,272.3061648197472
1988-12-01,324.1095755598508,1988,2082.911771880754,324.1095755598508
1989-12-01,158.35702302865684,1989,1467.2847790836386,158.35702302865684
1990-12-01,422.1837408680585,1990,1546.5238283337385,422.1837408680585
1991-12-01,275.8774640969932,1991,2113.009103044169,275.8774640969932
1992-12-01,308.3579803118482,1992,2095.567632870734,308.3579803118482
1993-12-01,153.247963974718,1993,1543.0748164726538,153.247963974718
1994-12-01,194.2856881156331,1994,1822.3248710735788,194.2856881156331
1995-12-01,309.1632198746084,1995,2278.522890659224,309.1632198746084
1996-12-01,189.25104236695915,1996,1627.9087941540638,189.25104236695915
1997-12-01,215.30404491350052,1997,1755.5086718446546,215.30404491350052
1998-12-01,265.80620950553566,1998,2239.3391855730442,265.80620950553566
1999-12-01,321.1124212939467,1999,2580.0015706459817,321.1124212939467
2000-12-01,228.34980041370727,2000,1945.011716782028,228.34980041370727
2001-12-01,289.2525316299725,2001,2148.455150997688,289.2525316299725
2002-12-01,221.2449800266768,2002,2136.079936104943,221.2449800266768
2003-12-01,214.3367227865383,2003,1936.708339863253,214.3367227865383
2004-12-01,170.16438329592347,2004,2083.18494034138,170.16438329592347
2005-12-01,186.4422213518992,2005,2699.6889387330157,186.4422213518992
2006-12-01,225.51021378021687,2006,2798.9936848913203,225.51021378021687
2007-12-01,440.4998419282492,2007,2671.3263001744053,440.4998419282492
2008-12-01,390.2730428540963,2008,2506.1672468553297,390.2730428540963
2009-12-01,159.9911571945995,2009,2016.6286986263003,159.9911571945995
2010-12-01,266.8775504353107,2010,1796.8011577475409,266.8775504353107
2011-12-01,349.66327303263824,2011,2588.1880286397063,349.66327303263824
2012-12-01,342.12501758302096,2012,2776.9346467379364,342.12501758302096
2013-12-01,222.39868604228832,2013,2799.1313357073523,222.39868604228832
2014-12-01,157.15298496797914,2014,1831.9589784376149,157.15298496797914
2015-12-01,224.2345741367899,2015,2213.891048413643,224.2345741367899
2016-12-01,362.548769346904,2016,2524.9550927022938,362.548769346904
