year,precipitation
1979,114.18320060420228
1980,148.945693524729
1981,126.86571113417813
1982,137.3347307979202
1983,147.05389254950205
1984,100.64173067896718
1985,144.74824734734284
1986,168.9954841574945
1987,223.00229238571774
1988,173.57598099006282
1989,122.27373159030321
1990,128.8769856944782
1991,176.08409192034742
1992,174.63063607256117
1993,128.5895680393878
1994,151.86040592279824
1995,189.87690755493531
1996,135.65906617950532
1997,146.29238932038788
1998,186.6115987977537
1999,215.00013088716514
2000,162.08430973183567
2001,179.03792924980735
2002,178.0066613420786
2003,161.3923616552711
2004,173.59874502844832
2005,224.9740782277513
2006,233.24947374094336
2007,222.61052501453378
2008,208.84727057127748
2009,168.0523915521917
2010,149.73342981229507
2011,215.68233571997553
2012,231.4112205614947
2013,233.26094464227936
2014,152.66324820313457
2015,184.49092070113693
2016,210.4129243918578
