"Year","VT_df","Tt_df","df_name","variavel"
"1979-01",0.459946115229504,0.402747974125834,"df_regclim","npp"
"1979-02",0.253647880577252,0.403483339237922,"df_regclim","npp"
"1979-03",0.462541836346911,0.404218704348828,"df_regclim","npp"
"1979-04",0.442354466605846,0.404954069460728,"df_regclim","npp"
"1979-05",0.315660037500533,0.405689434572633,"df_regclim","npp"
"1979-06",0.287902053340903,0.40642479968454,"df_regclim","npp"
"1979-07",0.292981538005013,0.407160164796446,"df_regclim","npp"
"1979-08",0.225828425077809,0.407895529908351,"df_regclim","npp"
"1979-09",0.542221887190343,0.408630895020258,"df_regclim","npp"
"1979-10",0.309418471685185,0.409366260132163,"df_regclim","npp"
"1979-11",0.395050026868801,0.410101625244068,"df_regclim","npp"
"1979-12",0.527933086107174,0.410836990355975,"df_regclim","npp"
"1980-01",0.419986529494191,0.411572355467881,"df_regclim","npp"
"1980-02",0.0910934784900266,0.412307720579786,"df_regclim","npp"
"1980-03",0.460656767738307,0.413043085691693,"df_regclim","npp"
"1980-04",0.602463285498622,0.413778450803598,"df_regclim","npp"
"1980-05",0.296333253605048,0.414513815915503,"df_regclim","npp"
"1980-06",0.429777529743066,0.41524918102741,"df_regclim","npp"
"1980-07",0.276883750955568,0.415984546139316,"df_regclim","npp"
"1980-08",0.423483736177389,0.416719911251221,"df_regclim","npp"
"1980-09",0.504779791327055,0.417455276363128,"df_regclim","npp"
"1980-10",0.580730467463054,0.418190641475033,"df_regclim","npp"
"1980-11",0.37297057500638,0.418926006586938,"df_regclim","npp"
"1980-12",0.354756508911569,0.419661371698845,"df_regclim","npp"
"1981-01",0.43547297659821,0.420396736810751,"df_regclim","npp"
"1981-02",0.642828577323655,0.421132101922656,"df_regclim","npp"
"1981-03",0.286201861613911,0.421867467034563,"df_regclim","npp"
"1981-04",0.479053294012903,0.422602832146468,"df_regclim","npp"
"1981-05",0.416440709706276,0.423338197258373,"df_regclim","npp"
"1981-06",0.301030941970326,0.42407356237028,"df_regclim","npp"
"1981-07",0.416345458252944,0.424808927482186,"df_regclim","npp"
"1981-08",0.570347215469603,0.425544292594091,"df_regclim","npp"
"1981-09",0.563478394971574,0.426279657705998,"df_regclim","npp"
"1981-10",0.27028796875207,0.427015022817903,"df_regclim","npp"
"1981-11",0.47754199157289,0.427750387929808,"df_regclim","npp"
"1981-12",0.472670887136616,0.428485753041715,"df_regclim","npp"
"1982-01",0.289670297004241,0.429221118153621,"df_regclim","npp"
"1982-02",0.496917696947189,0.429956483265526,"df_regclim","npp"
"1982-03",0.419516523692297,0.430691848377433,"df_regclim","npp"
"1982-04",0.546824845124775,0.431427213489338,"df_regclim","npp"
"1982-05",0.460437466422416,0.432162578601243,"df_regclim","npp"
"1982-06",0.303320734331487,0.43289794371315,"df_regclim","npp"
"1982-07",0.347614385996973,0.433633308825056,"df_regclim","npp"
"1982-08",0.361806593101924,0.434368673936961,"df_regclim","npp"
"1982-09",0.22415290533666,0.435104039048868,"df_regclim","npp"
"1982-10",0.392709919688595,0.435839404160773,"df_regclim","npp"
"1982-11",0.359356351715095,0.436574769272678,"df_regclim","npp"
"1982-12",0.528457276073577,0.437310134384585,"df_regclim","npp"
"1983-01",0.149502503855528,0.438045499496491,"df_regclim","npp"
"1983-02",0.292454148546212,0.438780864608396,"df_regclim","npp"
"1983-03",0.378342709548186,0.439516229720303,"df_regclim","npp"
"1983-04",0.416085329203132,0.440251594832208,"df_regclim","npp"
"1983-05",0.310886138204129,0.440986959944113,"df_regclim","npp"
"1983-06",0.336374277258136,0.44172232505602,"df_regclim","npp"
"1983-07",0.343309743010978,0.442457690167926,"df_regclim","npp"
"1983-08",0.509983288386244,0.443193055279831,"df_regclim","npp"
"1983-09",0.608434791794,0.443928420391738,"df_regclim","npp"
"1983-10",0.63761918973001,0.444663785503643,"df_regclim","npp"
"1983-11",0.520912803329963,0.445399150615548,"df_regclim","npp"
"1983-12",0.514608369895188,0.446134515727456,"df_regclim","npp"
"1984-01",0.479807479678589,0.446869880839361,"df_regclim","npp"
"1984-02",0.508211823955745,0.447605245951266,"df_regclim","npp"
"1984-03",0.42235843538557,0.448340611063173,"df_regclim","npp"
"1984-04",0.393151660375638,0.449075976175078,"df_regclim","npp"
"1984-05",0.55698355150069,0.449811341286983,"df_regclim","npp"
"1984-06",0.348080173463684,0.450546706398891,"df_regclim","npp"
"1984-07",0.514432386341699,0.451282071510796,"df_regclim","npp"
"1984-08",0.576078998039897,0.452017436622701,"df_regclim","npp"
"1984-09",0.558089955133841,0.452752801734608,"df_regclim","npp"
"1984-10",0.644371707086129,0.453488166846513,"df_regclim","npp"
"1984-11",0.408152388031999,0.454223531958418,"df_regclim","npp"
"1984-12",0.480768403397782,0.454958897070326,"df_regclim","npp"
"1985-01",0.523903594238381,0.455694262182231,"df_regclim","npp"
"1985-02",0.452825502381819,0.456429627294136,"df_regclim","npp"
"1985-03",0.42006550921298,0.457164992406043,"df_regclim","npp"
"1985-04",0.408683610040151,0.457900357517948,"df_regclim","npp"
"1985-05",0.550207428357969,0.458635722629853,"df_regclim","npp"
"1985-06",0.456501578098982,0.459371087741761,"df_regclim","npp"
"1985-07",0.598807871746529,0.460106452853666,"df_regclim","npp"
"1985-08",0.46034179898766,0.460841817965571,"df_regclim","npp"
"1985-09",0.477455706428769,0.461577183077478,"df_regclim","npp"
"1985-10",0.494512854466849,0.462312548189383,"df_regclim","npp"
"1985-11",0.609883401407327,0.463047913301288,"df_regclim","npp"
"1985-12",0.585569421969563,0.463783278413196,"df_regclim","npp"
"1986-01",0.603560267740682,0.464518643525101,"df_regclim","npp"
"1986-02",0.396160092393817,0.465254008637006,"df_regclim","npp"
"1986-03",0.529356425986075,0.465989373748913,"df_regclim","npp"
"1986-04",0.569714278213747,0.466724738860818,"df_regclim","npp"
"1986-05",0.388019767925199,0.467460103972723,"df_regclim","npp"
"1986-06",0.5289668374366,0.468195469084631,"df_regclim","npp"
"1986-07",0.513940698055022,0.468930834196536,"df_regclim","npp"
"1986-08",0.380680378550093,0.469666199308441,"df_regclim","npp"
"1986-09",0.472379882879189,0.470401564420348,"df_regclim","npp"
"1986-10",0.661230539598949,0.471136929532253,"df_regclim","npp"
