"","value_vt","value_tt","Year"
"1",0,0,"2007-01"
"2",0,0,"2007-02"
"3",0,0,"2007-03"
"4",0,0,"2007-04"
"5",0,0,"2007-05"
"6",0,0,"2007-06"
"7",0,0,"2007-07"
"8",0,0,"2007-08"
"9",0,0,"2007-09"
"10",0,0,"2007-10"
"11",0,0,"2007-11"
"12",0,0,"2007-12"
"13",0,0,"2008-01"
"14",0,0,"2008-02"
"15",0,0,"2008-03"
"16",0,0,"2008-04"
"17",0,0,"2008-05"
"18",0,0,"2008-06"
"19",0,0,"2008-07"
"20",0,0,"2008-08"
"21",0,0,"2008-09"
"22",0,0,"2008-10"
"23",0,0,"2008-11"
"24",0,0,"2008-12"
"25",0,0,"2009-01"
"26",0,0,"2009-02"
"27",0,0,"2009-03"
"28",0,0,"2009-04"
"29",0,0,"2009-05"
"30",0,0,"2009-06"
"31",0,0,"2009-07"
"32",0,0,"2009-08"
"33",0,0,"2009-09"
"34",0,0,"2009-10"
"35",0,0,"2009-11"
"36",0,0,"2009-12"
"37",0,0,"2010-01"
"38",0,0,"2010-02"
"39",0,0,"2010-03"
"40",0,0,"2010-04"
"41",0,0,"2010-05"
"42",0,0,"2010-06"
"43",0,0,"2010-07"
"44",0,0,"2010-08"
"45",0,0,"2010-09"
"46",0,0,"2010-10"
"47",0,0,"2010-11"
"48",0,0,"2010-12"
"49",0,0,"2011-01"
"50",0,0,"2011-02"
"51",0,0,"2011-03"
"52",0,0,"2011-04"
"53",0,0,"2011-05"
"54",0,0,"2011-06"
"55",0,0,"2011-07"
"56",0,0,"2011-08"
"57",0,0,"2011-09"
"58",0,0,"2011-10"
"59",0,0,"2011-11"
"60",0,0,"2011-12"
"61",0,0,"2012-01"
"62",0,0,"2012-02"
"63",0,0,"2012-03"
"64",0,0,"2012-04"
"65",0,0,"2012-05"
"66",0,0,"2012-06"
"67",0,0,"2012-07"
"68",0,0,"2012-08"
"69",0,0,"2012-09"
"70",0,0,"2012-10"
"71",0,0,"2012-11"
"72",0,0,"2012-12"
"73",0,0,"2013-01"
"74",0,0,"2013-02"
"75",0,0,"2013-03"
"76",0,0,"2013-04"
"77",0,0,"2013-05"
"78",0,0,"2013-06"
"79",0,0,"2013-07"
"80",0,0,"2013-08"
"81",0,0,"2013-09"
"82",0,0,"2013-10"
"83",0,0,"2013-11"
"84",0,0,"2013-12"
"85",0,0,"2014-01"
"86",0,0,"2014-02"
"87",0,0,"2014-03"
"88",0,0,"2014-04"
"89",0,0,"2014-05"
"90",0,0,"2014-06"
"91",0,0,"2014-07"
"92",0,0,"2014-08"
"93",0,0,"2014-09"
"94",0,0,"2014-10"
"95",0,0,"2014-11"
"96",0,0,"2014-12"
"97",0,0,"2015-01"
"98",0,0,"2015-02"
"99",0,0,"2015-03"
"100",0,0,"2015-04"
"101",0,0,"2015-05"
"102",0,0,"2015-06"
"103",0,0,"2015-07"
"104",0,0,"2015-08"
"105",0,0,"2015-09"
"106",0,0,"2015-10"
"107",0,0,"2015-11"
"108",0,0,"2015-12"
"109",0,0,"2016-01"
"110",0,0,"2016-02"
"111",0,0,"2016-03"
"112",0,0,"2016-04"
"113",0,0,"2016-05"
"114",0,0,"2016-06"
"115",0,0,"2016-07"
"116",0,0,"2016-08"
"117",0,0,"2016-09"
"118",0,0,"2016-10"
"119",0,0,"2016-11"
"120",0,0,"2016-12"
