"","YEAR","weighted_mean_g1","Source"
"1",1979,9.71470593294791,"1y"
"2",1980,9.52786253947405,"1y"
"3",1981,9.31394058844085,"1y"
"4",1982,9.56293237021791,"1y"
"5",1983,9.1797874570874,"1y"
"6",1984,9.73336094569536,"1y"
"7",1985,9.55222105773924,"1y"
"8",1986,9.02395973455541,"1y"
"9",1987,9.4951866119065,"1y"
"10",1988,9.08344426391077,"1y"
"11",1989,9.41157461647845,"1y"
"12",1990,9.00192208741039,"1y"
"13",1991,9.07502265854615,"1y"
"14",1992,8.69081163906147,"1y"
"15",1993,8.93086171269993,"1y"
"16",1994,8.64814664929882,"1y"
"17",1995,7.5284957208493,"1y"
"18",1996,7.21408272928153,"1y"
"19",1997,7.11323257475308,"1y"
"20",1998,1.31360394483302,"1y"
"21",1999,1.11390306152204,"1y"
"22",2000,1.38491014023269,"1y"
"23",2001,1.20724848313664,"1y"
"24",2002,0.969337687785547,"1y"
"25",2003,0.873076133108974,"1y"
"26",2004,0.464689776361821,"1y"
"27",2005,0.371215650686089,"1y"
"28",2006,NA,"1y"
"29",2007,NA,"1y"
"30",2008,NA,"1y"
"31",2009,NA,"1y"
"32",2010,NA,"1y"
"33",2011,NA,"1y"
"34",2012,NA,"1y"
"35",2013,NA,"1y"
"36",2014,NA,"1y"
"37",2015,NA,"1y"
"38",2016,NA,"1y"
"39",1979,9.71470593294791,"7y"
"40",1980,9.52786253947405,"7y"
"41",1981,9.31394058844085,"7y"
"42",1982,9.51919107184101,"7y"
"43",1983,9.48440181726429,"7y"
"44",1984,9.57705755392297,"7y"
"45",1985,9.56531045240241,"7y"
"46",1986,9.19607891317631,"7y"
"47",1987,9.40179733715278,"7y"
"48",1988,10.0202330124413,"7y"
"49",1989,9.58428296409312,"7y"
"50",1990,9.29111726562263,"7y"
"51",1991,9.57308174135067,"7y"
"52",1992,9.41084116491683,"7y"
"53",1993,9.46415306416147,"7y"
"54",1994,9.44670109650412,"7y"
"55",1995,9.77050981832307,"7y"
"56",1996,9.19451715613833,"7y"
"57",1997,9.20771458450429,"7y"
"58",1998,9.47139739039761,"7y"
"59",1999,9.61160411979259,"7y"
"60",2000,9.11753659739572,"7y"
"61",2001,9.61904575450048,"7y"
"62",2002,9.60529218596995,"7y"
"63",2003,9.38618371274958,"7y"
"64",2004,9.52119163073976,"7y"
"65",2005,9.29919079328496,"7y"
"66",2006,9.50235889072573,"7y"
"67",2007,9.76291773439349,"7y"
"68",2008,9.53721303250747,"7y"
"69",2009,9.25269629433698,"7y"
"70",2010,9.27830974280401,"7y"
"71",2011,10.0426039496812,"7y"
"72",2012,9.28181725374296,"7y"
"73",2013,9.18048055432155,"7y"
"74",2014,9.35895851267319,"7y"
"75",2015,9.51635068777167,"7y"
"76",2016,9.10585554281221,"7y"
"77",1979,9.71470593294791,"regclim"
"78",1980,9.36254804522574,"regclim"
"79",1981,9.68280137229092,"regclim"
"80",1982,9.17382790693566,"regclim"
"81",1983,9.38997861472379,"regclim"
"82",1984,9.50951345274373,"regclim"
"83",1985,9.45588860111538,"regclim"
"84",1986,9.59009966872416,"regclim"
"85",1987,9.57708161755539,"regclim"
"86",1988,9.14067933670972,"regclim"
"87",1989,9.14427819077376,"regclim"
"88",1990,9.41798012600936,"regclim"
"89",1991,9.24908990470844,"regclim"
"90",1992,9.61707024074618,"regclim"
"91",1993,9.16356137228132,"regclim"
"92",1994,9.38137349188573,"regclim"
"93",1995,9.21514375270108,"regclim"
"94",1996,9.15420243567515,"regclim"
"95",1997,9.76909815961674,"regclim"
"96",1998,9.43298978332792,"regclim"
"97",1999,9.30816746680508,"regclim"
"98",2000,9.77759196189852,"regclim"
"99",2001,9.18148844534972,"regclim"
"100",2002,9.48773997745875,"regclim"
"101",2003,9.81822640997909,"regclim"
"102",2004,9.73842000361431,"regclim"
"103",2005,8.92472545277512,"regclim"
"104",2006,9.27645316921168,"regclim"
"105",2007,9.30021232294656,"regclim"
"106",2008,9.35821313570624,"regclim"
"107",2009,9.39319066079095,"regclim"
"108",2010,9.32515134217531,"regclim"
"109",2011,9.30723159613204,"regclim"
"110",2012,9.28323503090597,"regclim"
"111",2013,8.81904958712465,"regclim"
"112",2014,8.94346263777961,"regclim"
"113",2015,9.09523624992934,"regclim"
"114",2016,9.76357259326996,"regclim"
